gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS04135,-0.186723187,0.226314693,0.275119536,WP_039755651.1,ffh Synpcc7942_1771,signal recognition particle protein,Synpcc7942_1771,tier1:gene ID
gene-H6G84_RS04155,1.045755296,3.84527e-10,1.59713e-09,WP_039755653.1,,cytochrome ubiquinol oxidase subunit I,,unresolved
gene-H6G84_RS04215,0.075457158,0.653471243,0.697747891,WP_039755658.1,,Na+:solute symporter,,unresolved
gene-H6G84_RS04390,3.161364713,2.3253e-24,3.26151e-23,WP_039755663.1,,hypothetical protein,,unresolved
gene-H6G84_RS11395,-0.306955339,0.083322716,0.112510865,WP_039755692.1,ilvC Synpcc7942_1552,ketol-acid reductoisomerase,Synpcc7942_1552,tier1:gene ID
gene-H6G84_RS11425,-1.882251416,6.7069e-14,4.02865e-13,WP_039755693.1,,hypothetical protein,,unresolved
gene-H6G84_RS11465,-1.017489637,0.004182189,0.007219126,WP_039755696.1,,hypothetical protein,,unresolved
gene-H6G84_RS10630,-0.337230316,0.088393975,0.117990762,WP_039755718.1,,HlyD family efflux transporter periplasmic adaptor subunit,,unresolved
gene-H6G84_RS08165,0.977129914,4.96464e-06,1.30651e-05,WP_039755720.1,,hypothetical protein,,unresolved
gene-H6G84_RS08630,1.524344832,3.04033e-23,3.86021e-22,WP_039755725.1,,hypothetical protein,,unresolved
gene-H6G84_RS08675,-0.371408161,0.020900561,0.031598535,WP_039755727.1,,triose-phosphate isomerase,,unresolved
gene-H6G84_RS08710,-0.399551228,0.01860849,0.028438189,WP_039755728.1,,cyclic nucleotide-binding domain-containing protein,,unresolved
gene-H6G84_RS08930,-1.630315269,1.8216e-14,1.15368e-13,WP_039755738.1,,hypothetical protein,,unresolved
gene-H6G84_RS09030,-0.151846912,0.358375252,0.41311846,WP_039755741.1,,1-acyl-sn-glycerol-3-phosphate acyltransferase,,unresolved
gene-H6G84_RS09075,0.685822883,2.6333e-06,7.12996e-06,WP_039755743.1,,6-carboxytetrahydropterin synthase,,unresolved
gene-H6G84_RS09280,0.276457852,0.080439818,0.10894756,WP_039755754.1,,Grx4 family monothiol glutaredoxin,,unresolved
gene-H6G84_RS09720,1.264924303,4.56701e-06,1.20661e-05,WP_039755764.1,,hypothetical protein,,unresolved
gene-H6G84_RS10135,-0.061177871,0.792723963,0.824420612,WP_039755778.1,,hypothetical protein,,unresolved
gene-H6G84_RS10170,1.806895367,9.470000000000001e-26,1.5197e-24,WP_039755781.1,,DUF4912 domain-containing protein,,unresolved
gene-H6G84_RS10185,-0.749632376,4.25233e-05,9.85466e-05,WP_039755782.1,,hypothetical protein,,unresolved
gene-H6G84_RS10505,-0.167777524,0.338991863,0.393995315,WP_039755790.1,,hypothetical protein,,unresolved
gene-H6G84_RS11960,1.166325883,1.45934e-12,7.89812e-12,WP_039755798.1,alaS Synpcc7942_0876,alanine--tRNA ligase,Synpcc7942_0876,tier1:gene ID
gene-H6G84_RS12345,1.473109639,9.59932e-14,5.70212e-13,WP_039755809.1,sodB Synpcc7942_0801,superoxide dismutase,Synpcc7942_0801,tier1:gene ID
gene-H6G84_RS12355,1.428031075,5.503630000000001e-23,6.8898299999999995e-22,WP_039755810.1,,B12-binding domain-containing radical SAM protein,,unresolved
gene-H6G84_RS12485,-0.728290397,1.50776e-05,3.72972e-05,WP_039755814.1,,GNAT family N-acetyltransferase,,unresolved
gene-H6G84_RS12535,0.09845924,0.682478719,0.723530071,WP_039755816.1,,hypothetical protein,,unresolved
gene-H6G84_RS12605,2.490655905,2.57359e-15,1.77697e-14,WP_039755822.1,,hypothetical protein,,unresolved
gene-H6G84_RS12865,0.24202578,0.073304211,0.100092753,WP_039755832.1,DOP62_12760,DUF3318 domain-containing protein,,unresolved
gene-H6G84_RS12990,0.118253702,0.525004857,0.57713911,WP_039755834.1,,hypothetical protein,,unresolved
gene-H6G84_RS13120,0.162606177,0.249996171,0.300736301,WP_039755844.1,,prephenate/arogenate dehydrogenase,,unresolved
gene-H6G84_RS13125,-0.128962303,0.497506522,0.551207598,WP_039755845.1,,helicase,,unresolved
gene-H6G84_RS13450,-0.478722762,0.007620331,0.012524457,WP_039755849.1,hemL Synpcc7942_0645,glutamate-1-semialdehyde 2%2C1-aminomutase,Synpcc7942_0645,tier1:gene ID
gene-H6G84_RS13240,0.422905577,0.014448988,0.022531338,WP_039755853.1,,ribulose-phosphate 3-epimerase,,unresolved
gene-H6G84_RS04870,-0.574184256,0.000414533,0.000834988,WP_039755858.1,,thiazole synthase,,unresolved
gene-H6G84_RS06520,0.573559374,3.16088e-05,7.49379e-05,WP_039755882.1,,amidohydrolase,,unresolved
gene-H6G84_RS06915,-0.047167392,0.774389812,0.807233582,WP_039755888.1,,ATP-binding cassette domain-containing protein,,unresolved
gene-H6G84_RS07420,-0.318645526,0.019819075,0.030133543,WP_039755891.1,,ABC transporter ATP-binding protein/permease,,unresolved
gene-H6G84_RS07940,-0.243883845,0.159600105,0.201398342,WP_039755900.1,,orotate phosphoribosyltransferase,,unresolved
gene-H6G84_RS07975,1.078690219,5.93895e-08,1.9546e-07,WP_039755902.1,,Rrf2 family transcriptional regulator,,unresolved
gene-H6G84_RS00190,-1.49474029,1.65989e-22,1.9941e-21,WP_039755904.1,rplS rpl19 Synpcc7942_2541,50S ribosomal protein L19,Synpcc7942_2541,tier1:gene ID
gene-H6G84_RS11155,0.853822353,2.55269e-07,7.8425e-07,WP_039755953.1,,hypothetical protein,,unresolved
gene-H6G84_RS11555,-0.919765515,3.69928e-10,1.54367e-09,WP_039755959.1,argS Synpcc7942_1577 sed0009,arginine--tRNA ligase,Synpcc7942_1577,tier1:gene ID
gene-H6G84_RS08225,0.302757837,0.128088148,0.165054424,WP_039755972.1,,HAD-IA family hydrolase,,unresolved
gene-H6G84_RS09025,0.652597473,1.36969e-05,3.41339e-05,WP_039755983.1,pdxJ Synpcc7942_1194 sef0034,pyridoxine 5'-phosphate synthase,Synpcc7942_1194,tier1:gene ID
gene-H6G84_RS09320,-0.444700662,0.035348242,0.051326797,WP_039755989.1,,tRNA lysidine(34) synthetase TilS,,unresolved
