Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A1606,,3.78,5.11,9.42,1.35,2.50,1.84,alpha/beta hydrolase fold protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1634,,2.16,2.55,4.71,1.18,2.17,1.84,S-layer like protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2615,,77.15,12.77,23.54,0.17,0.30,1.84,hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_D0012,,8.09,10.21,18.84,1.27,2.33,1.84,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0042,,23.2,5.11,9.42,0.22,0.41,1.84,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0016,,519.03,674.03,1251.02,1.30,2.44,1.86,membrane-bound metal-dependent hydrolase,Unknown function,Enzymes of unknown specificity,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0690,ictB,26.44,53.62,103.6,2.04,3.85,1.93,bicarbonate uptake permease IctB,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",,Inner Membrane (11 transmembrane span),
SYNPCC7002_A2443,accA,74.45,79.15,153.83,1.06,2.08,1.94,acetyl-CoA carboxylase carboxyltransferase alpha subunit AccA,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,
SYNPCC7002_A0344,,5.93,10.21,20.41,1.72,3.45,2.00,rare lipoprotein A (RlpA)-like double-psi beta-barrel domain protein,Cell envelope,General,,Periplasm,
SYNPCC7002_A1836,perR,31.83,38.3,76.91,1.20,2.44,2.01,transcriptional regulator of hydrogen peroxide induced stress PerR,Regulatory functions,DNA interactions,Oxidative stress,Cytoplasm,
SYNPCC7002_F0043,,41.54,7.66,15.7,0.18,0.38,2.05,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1943,,56.11,53.62,111.45,0.95,2.00,2.08,putative translation initiation factor SUI1,Protein synthesis,Translation factors,,Cytoplasm,
SYNPCC7002_A1006,purU,4.32,10.21,21.98,2.38,5.00,2.15,formyltetrahydrofolate deformylase PurU,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_G0079,,32.37,5.11,10.99,0.16,0.34,2.15,ABC-type iron chelate uptake system permease component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (8 transmembrane span),
SYNPCC7002_D0009,,7.01,12.77,28.25,1.82,4.00,2.21,membrane protein of unknown function DUF1097,Unknown function,General,Nitrogen assimilation - Aliphatic nitriles,Inner Membrane (3 transmembrane span),
SYNPCC7002_A0930,,24.82,25.53,58.08,1.03,2.33,2.27,membrane protein of unknown function DUF502,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1387,,24.28,25.53,58.08,1.05,2.38,2.27,hypothetical protein,Unknown function,General,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A1735,mntC,15.65,17.87,40.81,1.14,2.63,2.28,ABC-type Zn/Mn uptake system substrate-binding component MntC,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane Lipoprotein,
SYNPCC7002_A0078,,336.13,48.51,113.02,0.14,0.34,2.33,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2563,smtA,496.9,91.91,221.32,0.18,0.44,2.41,metallothionein SmtA,Cellular processes,Adaptations to atypical conditions,Zinc resistance,Cytoplasm,SmtB
SYNPCC7002_A1712,,266.53,33.19,80.05,0.12,0.30,2.41,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1058,rplP,203.94,168.51,409.68,0.83,2.00,2.43,50S ribosomal protein L16 RplP,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_G0023,sybC,75.53,2.55,6.28,0.03,0.08,2.46,synechobactin core synthase type A group SybC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A0876,,5.93,5.11,12.56,0.86,2.13,2.46,O-antigen polymerase family protein,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),
SYNPCC7002_A0320,,162.4,33.19,81.62,0.20,0.50,2.46,thioredoxin-dependent peroxidase 1-Cys family,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_A2744,selD,2.7,2.55,6.28,0.94,2.33,2.46,bifunctional NADH dehydrogenase-like protein / selenide water dikinase SelD,Cellular processes,Non-protein molecular trafficking,Selenocompound metabolism,Cytoplasm,
SYNPCC7002_D0008,nthB,5.93,5.11,12.56,0.86,2.13,2.46,cobalt-containing nitrile hydratase subunit beta NthB,Central intermediary metabolism,Amino acids and amines,Nitrogen assimilation - Aliphatic nitriles,Cytoplasm,
SYNPCC7002_D0001,parA,12.95,2.55,6.28,0.20,0.49,2.46,plasmid partitioning protein ParA,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_A0203,hypB,21.58,2.55,6.28,0.12,0.29,2.46,[NiFe] hydrogenase nickel incorporation-associated protein HypB,Protein fate,Protein modification and repair,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_G0006,,12.95,2.55,6.28,0.20,0.49,2.46,TonB-dependent siderophore receptor IutA family,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur
SYNPCC7002_A1975,,2.7,2.55,6.28,0.94,2.33,2.46,Polysaccharide export protein,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lipopolysaccharide export,Inner Membrane (10 transmembrane span),
SYNPCC7002_A1878,,1.62,2.55,6.28,1.59,3.85,2.46,bacteriophage conserved hypothetical protein,Unknown function,General,Bacteriophage,,
SYNPCC7002_A0717,,9.17,7.66,18.84,0.83,2.04,2.46,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1019,,20.5,17.87,43.95,0.87,2.13,2.46,hypothetical protein,Unknown function,General,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A1335,,2.16,2.55,6.28,1.18,2.94,2.46,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0061,,13.49,2.55,6.28,0.19,0.47,2.46,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0988,rpmH,1372.56,245.1,627.87,0.18,0.46,2.56,50S ribosomal protein L34 RpmH,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A0308,folM,15.65,12.77,32.96,0.81,2.13,2.58,alternative dihydrofolate reductase FolM,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0568,,81.47,7.66,20.41,0.09,0.25,2.66,CHRD domain protein,Unknown function,General,,Periplasm,
SYNPCC7002_A1161,ctaA1,149.45,20.43,56.51,0.14,0.38,2.77,heme A synthase cytochrome oxidase biogenesis protein CtaA1,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme biosynthesis,Inner Membrane (8 transmembrane span),
SYNPCC7002_F0046,,43.16,5.11,14.13,0.12,0.33,2.77,CRISPR-associated RNA binding protein RAMP Cmr4 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A0684,rimK,6.47,5.11,14.13,0.79,2.17,2.77,ribosomal protein S6 glutaminyl transferase RimK,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A1778,cas2,66.9,10.21,29.82,0.15,0.45,2.92,CRISPR-associated protein Cas2,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_E0029,,11.87,12.77,37.67,1.08,3.13,2.95,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2660,,135.42,2.55,7.85,0.02,0.06,3.07,multicopper oxidase,Energy metabolism,Electron transport,,Periplasm,
SYNPCC7002_G0020,sybT,97.65,2.55,7.85,0.03,0.08,3.07,synechobactin transporter SybT,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (12 transmembrane span),
SYNPCC7002_A0660,,32.37,5.11,15.7,0.16,0.49,3.07,HNH endonuclease,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_D0005,nthT,3.78,7.66,25.11,2.04,6.67,3.28,cobalt transporter NthT,Transport and binding proteins,Cations and iron carrying compounds,Nitrogen assimilation - Aliphatic nitriles,Inner Membrane (6 transmembrane span),
SYNPCC7002_E0005,ardA,3.78,5.11,17.27,1.35,4.55,3.38,antirestriction protein ArdA,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A1907,,8.63,5.11,17.27,0.59,2.00,3.38,periplasmic AMIN domain protein,Unknown function,General,,Periplasm,
SYNPCC7002_C0001,parA,8.09,12.77,43.95,1.59,5.56,3.44,plasmid partitioning ATPase protein ParA,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_A2455,nth,3.78,2.55,9.42,0.68,2.50,3.69,endonuclease III Nth,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,
SYNPCC7002_A0211,,51.79,5.11,18.84,0.10,0.36,3.69,protein with nuclease-related domain (NERD),Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0107,,62.05,5.11,20.41,0.08,0.33,4.00,conserved hypothetical protein,Unknown function,General,Heat shock response,Cytoplasm,HrcA
SYNPCC7002_A0927,,41.54,5.11,20.41,0.12,0.49,4.00,FHA domain containing protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2493,,32.91,25.53,103.6,0.78,3.13,4.06,Mo-dependent nitrogenase C-terminal domain protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_C0009,,4.86,12.77,53.37,2.63,11.11,4.18,type III restriction protein res subunit,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A1261,,28.06,2.55,10.99,0.09,0.39,4.30,two component signal transduction system hybrid histidine kinase with PAS sensory domain,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0306,folK,18.88,7.66,37.67,0.40,2.00,4.92,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase FolK,"Biosynthesis of cofactors, prosthetic groups, and carriers",Folic acid,Folic acid (B9) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A2641,,222.82,15.32,75.34,0.07,0.34,4.92,toxin-antitoxin system Phd family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1748,agmB,25.9,2.55,12.56,0.10,0.49,4.92,ABC-type agmatine uptake system substrate-binding component AgmB,Transport and binding proteins,General,Agmatine uptake,Inner Membrane Lipoprotein,
SYNPCC7002_A1357,,5.4,2.55,12.56,0.47,2.33,4.92,protein of unknown function DUF88,Unknown function,General,Phosphate homeostasis,Cytoplasm,SphR
SYNPCC7002_D0007,nthA,4.32,2.55,14.13,0.59,3.23,5.53,cobalt-containing nitrile hydratase subunit alpha NthA,Central intermediary metabolism,Amino acids and amines,Nitrogen assimilation - Aliphatic nitriles,Cytoplasm,
SYNPCC7002_A0997,,29.13,2.55,14.13,0.09,0.49,5.53,two component signal transduction system phosphotransferase,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_D0006,nhlE,2.7,2.55,17.27,0.94,6.25,6.76,cobalt-containing nitrile hydratase activator NhlE,Regulatory functions,Protein interactions,Nitrogen assimilation - Aliphatic nitriles,Cytoplasm,
SYNPCC7002_A1231,,42.08,2.55,17.27,0.06,0.41,6.76,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_E0001,parA,5.4,2.55,21.98,0.47,4.00,8.61,plasmid partitioning protein ParA,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_B0001,,12.95,17.87,172.66,1.39,14.29,9.66,DNA primase,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_C0010,,10.25,5.11,53.37,0.50,5.26,10.45,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0104,pchR,61.51,0.12,1.57,0.00,0.03,12.76,transcriptional regulator PchR,Regulatory functions,DNA interactions,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_G0081,,23.2,0.12,1.57,0.01,0.07,12.76,TonB-dependent iron chelate receptor,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,
SYNPCC7002_G0083,,27.52,0.12,1.57,0.00,0.06,12.76,ABC-type iron chelate uptake system substrate-binding component,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane Lipoprotein,
SYNPCC7002_G0103,fhuA,10.25,0.12,1.57,0.01,0.15,12.76,TonB-dependent ferrichrome receptor FhuA,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,Fur
SYNPCC7002_G0139,fecB,41,0.12,1.57,0.00,0.04,12.76,ABC-type iron(III) dicitrate uptake system substrate-binding component FecB,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane Lipoprotein,Fur
SYNPCC7002_A1290,,44.78,0.12,1.57,0.00,0.04,12.76,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1491,,8.63,0.12,1.57,0.01,0.18,12.76,hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_A0408,,7.55,0.12,3.14,0.02,0.41,25.52,glycosyl transferase group 1,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_G0082,,17.8,0.12,3.14,0.01,0.18,25.52,glyoxalase family protein,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_F0013,,8.63,0.12,3.14,0.01,0.36,25.52,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0074,,14.03,0.12,3.14,0.01,0.22,25.52,toxin-antitoxin system antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1495,pcnB,6.47,0.12,3.14,0.02,0.49,25.52,CC-adding tRNA nucleotidyltransferase PcnB,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0086,yedY,10.25,0.12,3.14,0.01,0.31,25.52,putative sulfite oxidase subunit YedY,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0647,,9.17,0.12,3.14,0.01,0.34,25.52,protein of unknown function DUF2358,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2681,,6.47,0.12,3.14,0.02,0.49,25.52,hypothetical protein,Unknown function,General,,Extracellular,
SYNPCC7002_A2837,,19.42,0.12,3.14,0.01,0.16,25.52,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_F0078,,8.63,0.12,3.14,0.01,0.36,25.52,conserved hypothetical protein,Unknown function,General,,Outer Membrane,
SYNPCC7002_G0152,atpGN,12.95,0.12,4.71,0.01,0.36,38.28,N-type Na+ translocating ATPase F1 complex gamma subunit AtpGN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,
SYNPCC7002_A0865,,11.87,0.12,4.71,0.01,0.40,38.28,two component signal transduction system histidine kinase with PAS domain,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A2436,,10.79,0.12,4.71,0.01,0.44,38.28,GCN5-related N-acetyltransferase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1380,,15.11,0.12,6.28,0.01,0.41,51.05,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2439,,26.44,0.12,6.28,0.00,0.24,51.05,hypothetical protein,Unknown function,General,,Extracellular,
SYNPCC7002_G0048,,14.57,0.12,6.28,0.01,0.43,51.05,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0137,exbB,65.82,0.12,7.85,0.00,0.12,63.81,outer membrane transport energizing sytem permease component ExbB,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (3 transmembrane span),Fur
SYNPCC7002_A2825,,1.62,0.12,7.85,0.08,4.76,63.81,YgiT-type zinc finger domain,Unknown function,General,,Cytoplasm,
SYNPCC7002_D0011,,1.62,0.12,7.85,0.08,4.76,63.81,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_F0049,,20.5,0.12,7.85,0.01,0.38,63.81,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0084,,45.86,0.12,7.85,0.00,0.17,63.81,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2330,,4.32,0.12,9.42,0.03,2.17,76.57,glutamine amidotransferase CobB/CobQ-like,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_F0005,,24.28,0.12,9.42,0.01,0.39,76.57,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0064,,22.66,0.12,9.42,0.01,0.41,76.57,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1821,nblA,23.74,0.12,9.42,0.01,0.40,76.57,phycobilisome degradation protein NblA,Protein fate,General,Phycobilisome,Cytoplasm,
SYNPCC7002_A0969,,4.32,0.12,9.42,0.03,2.17,76.57,family M42 peptidase,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_D0014,,0.12,0.12,9.42,1.00,100.00,76.57,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0004,,1.62,0.12,9.42,0.08,5.88,76.57,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0022,sybD,110.06,0.12,10.99,0.00,0.10,89.33,N4-hydroxy-1-aminopropane O-acetyltransferase SybD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A2657,,118.16,0.12,10.99,0.00,0.09,89.33,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2769,cysG,4.86,0.12,12.56,0.03,2.56,102.09,uroporphyrin-III C-methyltransferase CysG,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_D0019,cas1,5.4,0.12,14.13,0.02,2.63,114.85,CRISPR-associated endonuclease Cas1,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR-mediated immunity system,Cytoplasm,
SYNPCC7002_A0111,,5.93,0.12,14.13,0.02,2.38,114.85,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0009,,1.08,0.12,14.13,0.11,12.50,114.85,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1230,,34.53,0.12,15.7,0.00,0.45,127.62,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0008,,0.54,0.12,15.7,0.23,33.33,127.62,protein of unknown function DUF1071,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0024,,0.12,0.12,15.7,1.00,100.00,127.62,hypothetical protein,Unknown function,General,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A2281,clpS,8.09,0.12,20.41,0.02,2.50,165.90,ATP-dependent Clp protease adaptor protein ClpS,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_E0013,,7.01,0.12,20.41,0.02,2.94,165.90,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0012,,8.63,0.12,21.98,0.01,2.56,178.66,cytosine-specific methyltransferase,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_C0016,,1.62,0.12,21.98,0.08,14.29,178.66,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_D0002,,61.51,0.12,26.68,0.00,0.43,216.95,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_E0007,,1.08,0.12,31.39,0.11,33.33,255.23,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_C0017,,1.08,0.12,36.1,0.11,33.33,293.51,site-specific recombinase for integration and excision,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
SYNPCC7002_C0002,parB,11.33,0.12,37.67,0.01,3.33,306.28,plasmid partitioning protein ParB,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,
,,,,,,,,,,,,,
"1 RPKM is defined as a number of reads per kilobase of transcript per million of mapped reads. If the number of reads that map to a given transcript t is Mt, the length of that transcript is Lt, and the total number of mapped reads is M, such that M= ΣMt, then RPKM = (109*Mt)/(Lt*M)",,,,,,,,,,,,,
