Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A0198,hoxY,50.18,17.87,9.42,0.36,0.19,0.53,NAD-reducing hydrogenase subunit HoxY,Energy metabolism,Electron transport,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_F0045,,43.16,38.3,20.41,0.88,0.47,0.53,conserved CRISPR locus protein,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A1048,rplO,365.8,1608.47,860.18,4.35,2.33,0.53,50S ribosomal protein L15 RplO,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,
SYNPCC7002_A1657,pma1,7.55,35.74,18.84,4.76,2.50,0.53,calcium export P-type ATPase Pma1,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (10 transmembrane span),
SYNPCC7002_A0057,,71.76,349.78,183.65,4.76,2.56,0.53,dioxygenase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2591,pdxH,8.63,61.28,32.96,7.14,3.85,0.54,pyridoxamine 5'-phosphate oxidase PdxH,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,Pyridoxine (B6) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0852,,529.28,4115.65,2224.22,7.69,4.17,0.54,class II cyanobacteriochrome,Regulatory functions,General,,Cytoplasm,
SYNPCC7002_A0411,,310.23,285.95,153.83,0.93,0.50,0.54,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1377,,2.16,43.4,23.54,20.00,11.11,0.54,flavin-containing amine oxidoreductase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2541,ndhH,240.63,1044.23,569.79,4.35,2.38,0.55,proton-translocating NADH-quinone dehydrogenase subunit H NdhH,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,
SYNPCC7002_G0058,,5.4,25.53,14.13,4.76,2.63,0.55,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A2664,bfr,447.27,288.5,158.54,0.65,0.35,0.55,bacterioferritin Bfr,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,
SYNPCC7002_A1512,,137.04,89.36,50.23,0.65,0.37,0.56,glycosyl transferase group 2 family,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A2068,grxB,4.86,28.08,15.7,5.88,3.23,0.56,glutaredoxin GrxB,Energy metabolism,Electron transport,Oxidative stress,Cytoplasm,
SYNPCC7002_A2462,mscL,604.81,502.97,284.11,0.83,0.47,0.56,large-conductive mechanosensitive channel MscL,Transport and binding proteins,Unknown substrate,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A2531,,2140.84,9030.43,5041.77,4.17,2.38,0.56,T5SS autotransporter,Transport and binding proteins,Porins and secretins,,Outer Membrane & Extracellular,
SYNPCC7002_A0063,,12.95,61.28,34.53,4.76,2.70,0.56,membrane protein UPF0182 family,Unknown function,General,,Inner Membrane (9 transmembrane span),
SYNPCC7002_A0328,,35.61,30.64,17.27,0.86,0.49,0.56,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0896,,24.82,91.91,51.8,3.70,2.08,0.56,protein of unknown function DUF861 Cupin3 family,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1422,murQ,48.56,183.83,105.17,3.85,2.17,0.57,N-acetylmuramic acid-6-phosphate etherase MurQ,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Cytoplasm,
SYNPCC7002_A2176,ycf37,51.79,35.74,20.41,0.69,0.39,0.57,photosystem I assembly related protein Ycf37,Protein fate,Protein folding and stabilization,Photosystem II,Thylakoid Membrane (1 transmembrane span),
