 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_2198,,2.8,1.4,15.2,0.48,5.45,11.26,conserved hypothetical protein,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_2203,,0.9,1.4,8.0,1.45,8.61,5.93,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2213,ychE,29.8,21.6,10.4,0.73,0.35,0.48,6TMS neutral amino acid transporter (NAAT) family protein YchE,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_2216,,13.0,12.2,0.0,0.93,0.01,0.01,acteyltransferase GNAT family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_2220,yeaB,10.2,12.2,0.0,1.19,0.01,0.01,nucleoside diphosphate hydrolase YeaB,"Purines, pyrimidines, nucleosides, and nucleotides",Salvage of nucleosides and nucleotides,cAMP turnover,Cytoplasm,,,,unresolved
SputW3181_2221,,119.1,85.1,20.0,0.71,0.17,0.24,conserved hypothetical membrane protein,Unknown function,General,,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_2222,asnS,134.0,114.8,299.5,0.86,2.24,2.61,asparaginyl-tRNA synthetase AsnS,Protein synthesis,tRNA aminoacylation,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_2225,,45.6,70.2,27.2,1.54,0.6,0.39,bifunctional diguanylate cyclase with GAF and PAS sensory domains/signalling protein with EAL domain,Regulatory functions,Smal molecule interactions,,Cytoplasm,,,,unresolved
SputW3181_2228,,50.2,93.2,23.2,1.85,0.46,0.25,protein of unknown function DUF4274,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2230,def,31.6,45.9,181.8,1.45,5.75,3.96,peptide deformylase Def,Protein fate,Protein modification and repair,,Cytoplasm,,,,unresolved
SputW3181_2234,fadE2,243.8,75.6,331.5,0.31,1.36,4.38,acyl-CoA dehydrogenase FadE2,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Inner Membrane (2 transmembrane spans),FadR,,,unresolved
SputW3181_2245,dnaQ,22.3,24.3,70.5,1.09,3.16,2.9,DNA polymerase III epsilon subunit DnaQ,DNA metabolism,"DNA replication, recombination, and repair",DNA replication,Cytoplasm,,,,unresolved
SputW3181_2246,rnhA,7.4,4.1,14.4,0.54,1.94,3.56,ribonuclease HI RnhA,DNA metabolism,"DNA replication, recombination, and repair",Ribonuclease H,Cytoplasm,,,,unresolved
SputW3181_2249,gloB,11.2,5.4,16.8,0.48,1.51,3.11,hydroxyacylglutathione hydrolase GloB,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_2250,,11.2,12.2,40.0,1.09,3.59,3.29,membrane-bound lytic peptidoglycan transglycosylase D,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_2253,,144.2,122.9,55.2,0.85,0.38,0.45,RraA family regulator,Regulatory functions,Protein interactions,,Cytoplasm,,,,unresolved
SputW3181_2257,ppiB,13.0,25.7,0.0,1.97,0.01,0.0,cytoplasmic peptidyl-prolyl cis-trans isomerase PpiB,Protein fate,Protein folding and stabilization,Cell division,Cytoplasm,,,,unresolved
SputW3181_2264,fadD,116.3,86.4,197.0,0.74,1.69,2.28,long chain fatty acid CoA ligase FadD,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,,,,unresolved
SputW3181_2265,,59.5,55.4,126.5,0.93,2.12,2.28,peptidase S33 family,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_2266,,107.9,75.6,164.9,0.7,1.53,2.18,methyltransferase,Unknown function,Enzymes of unknown specificity,,Periplasm,,,,unresolved
SputW3181_2270,hemB,8.4,16.2,38.4,1.94,4.59,2.37,delta-aminolevulinic acid dehydratase HemB,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2272,,5.6,8.1,32.0,1.45,5.74,3.95,2OG-Fe(II) oxygenase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_2274,,44.7,50.0,14.4,1.12,0.32,0.29,acteyltransferase GNAT family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_2275,,31.6,54.0,0.0,1.71,0.0,0.0,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2278,dgkA,5.6,9.5,36.8,1.69,6.6,3.9,diacylglycerol kinase DgkA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,glycophospholipid metabolism,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_2279,hdtR,157.2,164.8,68.9,1.05,0.44,0.42,transcriptional regulator HdfR,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_2285,srtA,20.5,6.8,55.2,0.33,2.7,8.18,sortase SrtA,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_2286,,31.6,6.8,136.9,0.21,4.33,20.27,inter-alpha-trypsin inhibitor family protein,Regulatory functions,Protein interactions,,Periplasm,,,,unresolved
SputW3181_2287,,16.7,6.8,44.0,0.4,2.63,6.52,two component signal transduction system controlling sortase system response regulator,Signal transduction,Two-component systems,,Cytoplasm,,,,unresolved
SputW3181_2288,,10.2,4.1,18.4,0.4,1.8,4.54,two component signal transduction system controlling sortase system histidine kinase,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_2290,creA,27.0,39.2,6.4,1.45,0.24,0.16,lipoprotein CreA,Unknown function,General,,Inner Membrane Lipoprotein,,,,unresolved
SputW3181_2291,yegD,25.1,29.7,69.7,1.18,2.77,2.34,hsp70 family protein YegD,Cellular processes,Adaptations to atypical conditions,Heat shock response,Cytoplasm,,,,unresolved
SputW3181_2294,,57.7,70.2,21.6,1.22,0.37,0.31,major facilitator superfamily transporter required for growth on DMSO MFS superfamily,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_2296,ybaY,80.0,104.0,24.8,1.3,0.31,0.24,putative chaperone for general secretion pathway YbaY,Protein fate,Protein and peptide secretion and trafficking,Type 2b secretion systems,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_2302,gnd,37.2,36.5,12.8,0.98,0.34,0.35,6-phosphogluconate dehydrogenase decarboxylating Gnd,Energy metabolism,Pentose phosphate pathway,Pentose phosphate pathway,Cytoplasm,HexR,,,unresolved
SputW3181_2305,liuR,16.7,24.3,8.0,1.45,0.48,0.33,transcriptional repressor of branched chain amino acid degradation LiuR,Regulatory functions,DNA interactions,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2311,liuF,16.7,10.8,48.8,0.65,2.92,4.52,acetyl-CoA:acetoacetate-CoA transferase alpha subunit LiuF,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2312,liuG,13.0,9.5,31.2,0.73,2.4,3.3,acetyl-CoA:acetoacetate-CoA transferase beta subunit LiuG,Central intermediary metabolism,Amino acids and amines,Branched-chain amino acid degradation,Cytoplasm,LiuR and TyrR,,,unresolved
SputW3181_2314,,5.6,6.8,20.0,1.21,3.59,2.96,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2315,,14.0,6.8,16.8,0.48,1.2,2.49,DJ-1/PfpI family protein,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_2317,,37.2,33.8,8.8,0.91,0.24,0.26,4-toluene sulfonate uptake permease family protein,Transport and binding proteins,Unknown substrate,,Inner Membrane (8 transmembrane spans),,,,unresolved
SputW3181_2324,gcvR,80.0,56.7,161.7,0.71,2.02,2.85,glycine cleavage system transcriptional repressor GcvR,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_2327,argP,1.9,1.4,7.2,0.73,3.87,5.34,arginine/lysine-responsive transcriptional regulator ArgP,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_2328,yfgO,29.8,27.0,12.0,0.91,0.4,0.44,predicted inner membrane permease UPF0118 family YfgO,Transport and binding proteins,Unknown substrate,,Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_2329,,21.4,9.5,28.8,0.44,1.35,3.05,SirA-like protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2331,arsC,11.2,10.8,39.2,0.97,3.51,3.63,glutaredoxin-dependent arsenate reductase ArsC,Cellular processes,Detoxification,Detoxification - Arsenate,Cytoplasm,,,,unresolved
SputW3181_2341,,48.4,48.6,11.2,1.0,0.23,0.23,SpoVR family protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2345,,6.5,5.4,2.4,0.83,0.37,0.44,two component signal transduction system histidine kinase with Cache_1 and PAS sensory domains,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_2347,,272.6,45.9,17.6,0.17,0.06,0.38,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2349,,134.9,27.0,121.7,0.2,0.9,4.51,putative periplasmic protein,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_2350,,9.3,4.1,0.0,0.44,0.01,0.03,polysaccharide flippase,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Polysaccharide biosynthesis,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_2351,,23.3,27.0,8.0,1.16,0.34,0.3,TonB-dependent receptor,Transport and binding proteins,Porins and secretins,,Outer Membrane,,,,unresolved
SputW3181_2354,hmgA,6.5,6.8,32.0,1.04,4.92,4.74,"homogentisate 1,2-dioxygenase HmgA",Central intermediary metabolism,Amino acids and amines,Tyrosine degradation,Cytoplasm,HmgR,,,unresolved
SputW3181_2355,hppD,11.2,16.2,161.7,1.45,14.49,9.98,4-hydroxyphenylpyruvate dioxygenase HppD,Central intermediary metabolism,Amino acids and amines,Tyrosine degradation,Cytoplasm,HmgR,,,unresolved
SputW3181_2360,ydjA,42.8,32.4,80.9,0.76,1.89,2.49,nitroreductase YdjA,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_2361,,7.4,9.5,3.2,1.27,0.43,0.34,conserved lipoprotein,Unknown function,General,,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_2363,pnuT,81.0,55.4,19.2,0.68,0.24,0.35,thiamin uptake permease PnuT,Transport and binding proteins,Cofactors and prosthetic groups,Thiamine (B1) biosynthesis and salvage,Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_2364,ykoF,84.7,44.6,0.0,0.53,0.0,0.0,thiamin/hydroxymethyl pyrimidine-binding protein YkoF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_2365,,158.2,128.3,46.4,0.81,0.29,0.36,thiamine-regulated TonB-dependent receptor,Transport and binding proteins,Porins and secretins,Thiamine (B1) biosynthesis and salvage,Outer Membrane,,,,unresolved
SputW3181_2368,deoD,4.7,1.4,9.6,0.29,2.07,7.11,purine nucleoside phosphorylase DeoD,"Purines, pyrimidines, nucleosides, and nucleotides",Salvage of nucleosides and nucleotides,,Cytoplasm,DeoR,,,unresolved
SputW3181_2372,hinT,57.7,59.4,134.5,1.03,2.33,2.26,purine nucleoside phosphoramidase HinT,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide and nucleoside interconversions,pyrimidine conversions,Cytoplasm,,,,unresolved
SputW3181_2376,yaiI,33.5,23.0,0.0,0.69,0.0,0.01,protein of unknown function DUF188 YaiI,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2389,rmf,7167.3,6171.4,1406.8,0.86,0.2,0.23,ribosome modulation factor Rmf,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome biogenesis,Cytoplasm,,,,unresolved
SputW3181_2395,,69.8,79.7,174.6,1.14,2.5,2.19,conserved protein with negatively charged C-terminal domain,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2398,,40.9,47.3,16.8,1.15,0.41,0.36,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2399,,15.8,14.9,7.2,0.94,0.46,0.49,group II intron RNA-directed DNA polymerase,Mobile and extrachromosomal element functions,Group II intron,,Cytoplasm,,,,unresolved
SputW3181_2401,,33.5,28.4,60.9,0.85,1.82,2.15,conserved hypothetical membrane anchored protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_2403,,27.9,27.0,5.6,0.97,0.2,0.21,membrane protein of unknown function DUF2157,Unknown function,General,,Inner Membrane (9 transmembrane spans),,,,unresolved
SputW3181_2409,,10.2,12.2,0.0,1.19,0.01,0.01,2OG-Fe(II) oxygenase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_2417,tolR,119.1,97.3,205.8,0.82,1.73,2.12,TolA energy-transducing system inner membrane component TolR,Energy metabolism,TonB energy transduction system,TonB receptor activation,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_2419,ybgC,35.4,48.6,111.3,1.38,3.15,2.29,TolA energy-transducing system-associated acyl-CoA thioesterase YbgC,Unknown function,Enzymes of unknown specificity,TonB energy transduction system,Cytoplasm,,,,unresolved
SputW3181_2422,rnt,12.1,13.5,35.2,1.12,2.91,2.61,ribonuclease T Rnt,Transcription,RNA processing,,Cytoplasm,,,,unresolved
SputW3181_2430,asnB,60.5,252.6,48.8,4.18,0.81,0.19,asparagine synthase glutamine-hydrolyzing AsnB,Amino acid biosynthesis,Aspartate family,,Cytoplasm,,,,unresolved
SputW3181_2431,,5.6,6.8,0.0,1.21,0.02,0.02,patatin,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2433,,80.0,39.2,89.7,0.49,1.12,2.29,acyl-CoA dehydrogenase,Fatty acid and phospholipid metabolism,Degradation,,Cytoplasm,,,,unresolved
SputW3181_2436,yciA,70.7,77.0,28.0,1.09,0.4,0.36,acyl-CoA thioesterase YciA,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_2437,,6.5,4.1,18.4,0.62,2.83,4.54,hypothetical inner membrane protein,Unknown function,General,,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_2442,fabH,95.8,137.8,60.9,1.44,0.63,0.44,3-oxoacyl-(acyl-carrier-protein) synthase III FabH,Fatty acid and phospholipid metabolism,Biosynthesis,DHA (FA) biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2444,rpmF,4230.8,9469.9,3398.2,2.24,0.8,0.36,50S ribosomal protein L32 RpmF,Protein synthesis,Ribosomal proteins: synthesis and modification,Ribosome,Cytoplasm,,,,unresolved
SputW3181_2455,,67.0,54.0,0.0,0.81,0.0,0.0,LambdaSo-like hypothetical protein,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2457,I,33.5,12.2,31.2,0.36,0.93,2.57,LambdaSo-like tail assembly protein I,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2459,roi,57.7,40.5,96.9,0.7,1.68,2.39,LambdaSo-like lytic growth inhibitor Roi,Regulatory functions,DNA interactions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2460,,362.9,544.3,189.0,1.5,0.52,0.35,LambdaSo-like transcriptional repressor Arc family,Regulatory functions,DNA interactions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2461,,173.1,271.5,105.7,1.57,0.61,0.39,LambdaSo-like lipoprotein,Unknown function,General,Bacteriophage; LambdaSo-like,Outer membrane lipoprotein,,,,unresolved
SputW3181_2463,L,32.6,12.2,4.0,0.37,0.12,0.33,LambdaSo-like minor tail protein L,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2464,,35.4,14.9,0.0,0.42,0.0,0.01,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2465,,29.8,10.8,24.0,0.36,0.81,2.22,LambdaSo-like RNA-directed DNA polymerase (Reverse transcriptase),Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2467,,43.7,16.2,48.0,0.37,1.1,2.96,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2469,,59.5,25.7,11.2,0.43,0.19,0.44,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2470,H,30.7,12.2,25.6,0.4,0.83,2.11,LambdaSo-like tail length tape meausure protein H,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2471,,27.9,5.4,0.0,0.19,0.0,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2472,G,19.5,5.4,55.2,0.28,2.83,10.23,LambdaSo-like minor tail protein G,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2473,V,29.8,9.5,36.0,0.32,1.21,3.81,LambdaSo-like major tail protein V,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2474,,32.6,13.5,28.0,0.41,0.86,2.07,LambdaSo-like protein of unknown function DUF3168,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2476,,29.8,10.8,28.0,0.36,0.94,2.59,LambdaSo-like phage head-tail joining protein,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2477,,60.5,20.3,0.0,0.33,0.0,0.01,LambdaSo-like head-tail connector protein HK97-gp6 family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2480,,45.6,17.6,44.0,0.39,0.97,2.51,LambdaSo-like head maturation protease,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2482,,34.4,14.9,0.0,0.43,0.0,0.01,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2485,,26.1,9.5,0.0,0.36,0.0,0.01,LambdaSo-like endonuclease HNH family,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2489,R,55.8,25.7,66.5,0.46,1.19,2.59,LambdaSo-like lysozyme R,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Periplasm,,,,unresolved
SputW3181_2492,,9.3,5.4,0.0,0.58,0.01,0.02,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2494,,19.5,10.8,255.4,0.55,13.07,23.64,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2496,,16.7,12.2,0.0,0.73,0.01,0.01,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2497,,12.1,6.8,0.0,0.56,0.01,0.02,LambdaSo-like uncharacterized phage protein,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2498,,9.3,4.1,0.0,0.44,0.01,0.03,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2499,,9.3,1.4,6.4,0.15,0.69,4.74,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2500,,9.3,5.4,0.0,0.58,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2501,P,9.3,4.1,12.0,0.44,1.29,2.96,LambdaSo-like replication protein P,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2503,,14.9,9.5,0.0,0.64,0.01,0.01,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2504,,14.0,5.4,17.6,0.39,1.26,3.26,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2506,cro,15.8,21.6,56.9,1.37,3.59,2.63,LambdaSo-like transcriptional repressor of early genes Cro,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2509,,111.7,121.6,53.6,1.09,0.48,0.44,LambdaSo-like exonuclease,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2512,,10.2,4.1,16.0,0.4,1.56,3.95,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2513,,16.7,5.4,0.0,0.32,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2516,,18.6,14.9,5.6,0.8,0.3,0.38,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2517,,8.4,4.1,0.0,0.48,0.01,0.03,LambdaSo-like protein of unknown function DUF1317,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2518,,15.8,5.4,0.0,0.34,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2520,,7.4,1.4,20.8,0.18,2.8,15.41,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2525,,13.0,4.1,12.8,0.31,0.98,3.16,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2528,,30.7,20.3,46.4,0.66,1.51,2.29,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_2535,,7.4,13.5,0.0,1.81,0.02,0.01,glyoxalase family protein,Unknown function,Enzymes of unknown specificity,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_2538,,38.1,31.1,0.0,0.81,0.0,0.0,membrane protein COG3235 family,Unknown function,General,,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_2540,ycaR,197.3,218.8,37.6,1.11,0.19,0.17,UPF0434 family protein of unknown function YcaR,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2548,,4.7,12.2,0.0,2.61,0.03,0.01,ribbon-helix-helix domain protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2549,yecH,54.0,28.4,0.0,0.53,0.0,0.0,probable metal-binding protein YecH,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2550,yehU,10.2,9.5,20.0,0.92,1.96,2.12,two component signal transduction system histidine kinase with GAF sensory domain YehU,Signal transduction,Two component systems,,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_2551,yehT,13.0,13.5,38.4,1.04,2.95,2.85,two component signal transduction system response regulator YehT,Signal transduction,Two-component systems,,Cytoplasm,,,,unresolved
SputW3181_2552,cstA,8.4,5.4,35.2,0.65,4.21,6.52,carbon starvation protein A CstA,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (13 transmembrane spans),,,,unresolved
SputW3181_2553,,44.7,27.0,0.0,0.6,0.0,0.0,protein of unknown function DUF2132,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2564,,25.1,18.9,40.0,0.75,1.59,2.12,protein of unknown function DUF45,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_2565,,26.1,50.0,7.2,1.92,0.28,0.14,hypothetical lysine-rich protein,Unknown function,General,Iron homeostasis,Cytoplasm,Fur,,,unresolved
SputW3181_2568,sbcD,18.6,17.6,56.9,0.94,3.05,3.24,dsDNA exonuclease SbcD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,,,,unresolved
SputW3181_2569,yfcA,10.2,8.1,17.6,0.79,1.72,2.17,glycine uptake transporter YfcA,Transport and binding proteins,"Amino acids, peptides and amines",Glycine metabolism,Inner Membrane (8 transmembrane spans),,,,unresolved
SputW3181_2577,,15.8,31.1,6.4,1.96,0.4,0.21,diguanylate cyclase,Regulatory functions,Small molecule interactions,,Cytoplasm,,,,unresolved
SputW3181_2593,comEA,77.2,329.6,53.6,4.27,0.69,0.16,DNA competence protein ComEA,Cellular processes,DNA transformation,DNA competence,Periplasm,,,,unresolved
SputW3181_2594,mdeA,7.4,6.8,31.2,0.91,4.2,4.62,methionine gamma-lyase MdeA,Central intermediary metabolism,Amino acids and amines,Methionine degradation,Cytoplasm,TyrR,,,unresolved
SputW3181_2597,pspC,310.8,614.6,240.2,1.98,0.77,0.39,phage shock protein C PspC,Cellular processes,Adaptations to atypical conditions,Phage shock system,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_2603,sapC,40.9,40.5,7.2,0.99,0.18,0.18,ABC-type peptide uptake system permease component 2 SapC,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (5 transmembrane spans),,,,unresolved
SputW3181_2609,lon,252.2,231.0,87.3,0.92,0.35,0.38,ATP-dependent protease La Lon,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_2614,cysS,135.8,275.5,120.9,2.03,0.89,0.44,cysteinyl-tRNA synthetase CysS,Protein synthesis,tRNA aminoacylation,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_2616,lpxH,14.9,16.2,47.2,1.09,3.17,2.91,UDP-23-diacylglucosamine hydrolase LpxH,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Lipopolysaccharide Biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2626,,9.3,8.1,0.0,0.87,0.01,0.02,membrane protein,Unknown function,General,,Inner Membrane (6 transmembrane spans),,,,unresolved
