RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
N/A,tsr0235,Unknown function,General,None,hypothetical protein,,0,,4,H,66.22374058,62.22842732,87.67892984,72.04369924
N/A,tsr0258,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,alpha-ribazole from nicotinate mononucleotide and dimethylbenzimidazole,alpha-ribazole-5'-phosphate phosphatase CobC,cobC,4,C,2,F,147.5163563,49.96196529,70.08033527,89.18621894
N/A,tsr0272,Unknown function,General,None,hypothetical protein,,3,A,4,H,1312.779933,1540.550417,779.5551062,1210.961819
N/A,tsr0293,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecE,secE,3,A,4,H,14611.17741,16664.18558,13499.51106,14924.95802
N/A,tsr0305,Unknown function,General,None,hypothetical protein,,1,D,4,H,845.827921,3335.458093,2175.525354,2118.937123
N/A,tsr0338,Unknown function,General,None,uncharacterized protein,,4,C,4,H,114679.5969,32486.08285,8986.585421,52050.75506
N/A,tsr0373,Unknown function,General,None,protein of unknown function DUF2811,,1,D,3,G,16634.57569,28684.51076,30116.25728,25145.11458
N/A,tsr0375,Cell structure_ growth_ and death,Toxin-antitoxin systems,None,toxin-antitoxin system UPF0150 family toxin,,4,C,4,H,6531.569599,3979.236899,2144.509864,4218.438788
N/A,tsr0411,Unknown function,Enzymes of unknown specificity,None,glutaredoxin-like domain protein,,3,A,0,,966.456047,1001.241697,654.9837884,874.2271774
N/A,tsr0427,Regulatory functions,Protein interactions,None,anti-anti-sigma factor,,2,B,3,G,1151.64209,973.0572222,3528.276368,1884.325227
N/A,tsr0446,Intracellular trafficking_ assembly_ and processing,Enzyme assembly,photosystem I high light stabilizing complex,high light inducible protein HliC,hliC,2,B,4,H,7797.220881,8043.547869,16382.58331,10741.11735
N/A,tsr0473,Defense and invasion systems,Detoxification and inactivation,peroxide detoxification,putative peroxiredoxin,,4,C,4,H,1656.405755,1602.853373,1497.842169,1585.700432
N/A,tsr0524,Regulatory functions,Protein interactions,cytochrome b6f complex,cytochrome b6f complex regulatory protein PetP,petP,1,D,3,G,3826.590641,49107.11893,53682.26855,35538.65937
N/A,tsr0534,Transport and binding proteins,Cations and iron carrying compounds,None,YggT family putative K+ uptake protein,,4,C,4,H,5720.81006,2769.565194,1617.449849,3369.275034
N/A,tsr0549,Unknown function,General,None,hypothetical protein,,4,C,1,E,7157.951341,5224.870312,3361.422476,5248.081376
N/A,tsr0557,None,None,None,None,None,4,C,0,,214.3368989,168.3296553,88.45549121,157.0406818
N/A,tsr0564,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,membrane protein insertion efficiency factor YidD,yidD,4,C,4,H,6646.86593,1726.455235,644.9868974,3006.102687
N/A,tsr0608,Transport and binding proteins,Unknown substrate,None,ABC-type transport system substrate-binding component,,4,C,0,,207.6251047,23.81170552,9.732181823,80.38966402
N/A,tsr0629,Unknown function,General,None,hypothetical protein,,4,C,4,H,569.507216,39.06225948,25.16194785,211.2438078
N/A,tsr0686,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,None,LD-transpeptidase YkuD family,,4,C,0,,250.7858094,75.89435229,71.96767541,132.8826124
N/A,tsr0688,None,None,None,None,None,1,D,2,F,2464.31152,2844.288407,3414.843141,2907.814356
N/A,tsr0692,Unknown function,General,None,hypothetical protein,,2,B,3,G,3620.028226,2568.481343,4539.395564,3575.968378
N/A,tsr0695,Prosthetic groups_ cofactors_ and carriers,Nicotinate and nicotinamide metabolism,NAD(P) biosynthesis common pathway,NAD(P) transhydrogenase alpha chain part 2 PntC,pntC,4,C,4,H,14314.80623,2067.274913,780.1909623,5720.757369
N/A,tsr0706,Energy metabolism,Oxidative phosphorylation,NAD(P)H:quinone oxidoreductase (complex I) NdhABCDEFGHIJKLMNOPQS,NADH-plastoquinone oxidoreductase subunit NdhL,ndhL,1,D,4,H,4509.73467,12809.48423,11544.66652,9621.295141
N/A,tsr0753,None,None,None,None,None,0,,0,,46.289491,79.45595661,46.74426922,57.49657228
N/A,tsr0775,None,None,None,None,None,3,A,2,F,589.4783457,601.2220309,326.4158081,505.7053949
N/A,tsr0802,None,None,None,None,None,4,C,0,,156.6986186,74.64314392,52.00664342,94.44946865
N/A,tsr0804,Unknown function,General,None,protein of unknown function UPF0367,,1,D,1,E,4869.064376,7019.859439,7613.700514,6500.874777
N/A,tsr0813,Energy metabolism,Photosynthesis,photosystem I other subunits in cyanobacteria,photosystem I 4.8K protein PsaX,psaX,2,B,2,F,58208.52316,56102.65098,64199.45321,59503.54245
