RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
fig.6666666.52381.peg.168,SY28_RS00840,Cell structure_ growth_ and death,Cell division,,septum formation protein Maf,maf,3,G,83.84555452,43.22441357,36.90922594,54.65973134,SY28_00840,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1680,SY28_RS08390,Transport and binding proteins,Unknown substrate,,RND-type export system permease component,,3,G,22.68519246,22.25137088,26.55234009,23.82963448,SY28_08395,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1681,SY28_RS08395,Translation,Transfer RNA biogenesis,,class IIc alanyl-tRNA synthetase AlaS,alaS,3,G,41.80652697,27.87526298,58.93437049,42.87205348,SY28_08400,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1682,SY28_RS08400,Intracellular trafficking_ assembly_ and processing,Peptidases,cell division septum system,cell division protease FtsH,ftsH,3,G,156.6368278,146.0323098,180.0494653,160.906201,SY28_08405,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1684,SY28_RS08415,Nucleic acid metabolism,DNA replication_ recombination_ and repair,,HNH endonuclease,,4,H,112.6106447,209.1631073,219.9260084,180.5665868,SY28_08420,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1685,SY28_RS08420,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,heat shock proteins,molecular chaperone Hsp33 HslO,hslO,4,H,65.58492397,97.64181065,156.5874644,106.604733,SY28_08425,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1686,SY28_RS08425,Unknown function,General,,LmbE family protein,,1,E,100.1843154,184.5221881,102.2241766,128.9768933,SY28_08430,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1687,SY28_RS08430,Carbohydrate metabolism,Galactose metabolism,galactose degradation,galactokinase GalK,galK,3,G,46.22599893,22.97729739,17.64457912,28.94929181,SY28_08435,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1688,SY28_RS08435,Intracellular trafficking_ assembly_ and processing,Peptidases,,family M24 peptidase,,1,E,66.57606438,119.706899,60.54165304,82.27487213,SY28_08440,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1689,SY28_RS08440,Carbohydrate metabolism,Galactose metabolism,galactose degradation,UDPglucose--hexose-1-phosphate uridylyltransferase GalT,galT,3,G,47.2862736,46.35351741,28.75098455,40.79692519,SY28_08445,tier1:NCBI Locus Tag
fig.6666666.52381.peg.169,SY28_RS00845,Unknown function,Enzymes of unknown specificity,,phospholipase D/transphosphatidylase,,1,E,17.26275251,90.85762577,24.86312855,44.32783561,SY28_00845,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1690,SY28_RS08445,Carbohydrate metabolism,Galactose metabolism,galactose degradation,alpha-galactosidase GalA,galA,1,E,46.06211913,68.93547646,62.86187339,59.28648966,SY28_08450,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1691,SY28_RS08450,Carbohydrate metabolism,Galactose metabolism,galactose degradation,beta-galactosidase LacZ,lacZ,1,E,52.50587739,107.5445227,32.99510515,64.34850174,SY28_08455,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1692,SY28_RS08455,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,lactose uptake system LacEFGK,ABC-type lactose uptake system permease component LacG,lacG,1,E,45.61076786,15.10973677,41.54852482,34.08967648,SY28_08460,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1693,SY28_RS08460,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,lactose uptake system LacEFGK,ABC-type lactose uptake system permease component LacF,lacF,1,E,44.33443558,53.24329362,43.86959718,47.14910879,SY28_08465,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1694,SY28_RS08465,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,lactose uptake system LacEFGK,ABC-type lactose uptake system substrate-binding component LacE,lacE,1,E,422.0846411,403.1191604,451.0466802,425.4168272,SY28_08470,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1695,SY28_RS08470,Regulatory functions,DNA interactions,galactose degradation,DeoR family transcriptional regulator,,1,E,17.30366445,19.89635092,16.88330593,18.02777377,SY28_08475,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1696,SY28_RS08475,Signal transduction,Two-component systems,galactose degradation,two component signal transduction system histidine kinase,,1,E,18.33590639,64.99865739,43.99999257,42.44485212,SY28_08480,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1697,SY28_RS08480,Signal transduction,Two-component systems,galactose degradation,two component signal transduction system response regulator,,2,F,69.95302412,43.63544393,102.4793505,72.02260617,SY28_08485,tier1:NCBI Locus Tag
fig.6666666.52381.peg.17,SY28_RS00085,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,isoleucine biosynthesis from threonine and pyruvate,threonine ammonia-lyase IlvA,ilvA,0,,11.55418646,41.58073901,14.93774027,22.69088858,SY28_00085,tier1:NCBI Locus Tag
fig.6666666.52381.peg.170,SY28_RS00850,Regulatory functions,DNA interactions,,TetR family transcriptional regulator,,2,F,118.6280179,37.74066327,66.45495854,74.27454657,SY28_00850,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1700,SY28_RS08495,Nucleic acid metabolism,Purine metabolism,,GTP pyrophosphokinase RelA,relA,2,F,85.76445946,120.1197493,103.1431856,103.0091315,SY28_08500,tier1:NCBI Locus Tag
