RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
,tll1049,Signal transduction,Two-component systems,,two component signal transduction system response regulator with GGDEF sensory domain,,0,,896.7235581,899.4312422,877.8099462,891.3215822,tll1049,locus_tag:NCBI Locus Tag
,tll1052,Unknown function,General,,protein of unknown function DUF3318,,4,H,3821.300509,3961.767538,4500.244667,4094.437571,tll1052,locus_tag:NCBI Locus Tag
,tll1057,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,branched chain amino acid biosynthesis,dihydroxy-acid dehydratase IlvD,ilvD,3,G,13115.48465,13202.28359,10187.73405,12168.50076,tll1057,locus_tag:NCBI Locus Tag
,tll1058,Unknown function,General,,hypothetical protein,,2,F,662.261595,622.5583508,677.0933573,653.971101,tll1058,locus_tag:NCBI Locus Tag
,tll1059,Unknown function,General,,hypothetical protein,,4,H,475.0210051,596.2392751,1120.472648,730.5776428,tll1059,locus_tag:NCBI Locus Tag
,tll1061,Amino acid metabolism,Cysteine and methionine metabolism,methionine salvage pathway,methylthioribose-1-phosphate isomerase MtnA,mtnA,3,G,3064.149946,2795.413273,2665.122002,2841.56174,tll1061,locus_tag:NCBI Locus Tag
,tll1062,Amino acid metabolism,Alanine_ aspartate and glutamate metabolism,aspartate biosynthesis,L-asparaginase II AnsA2,ansA2,3,G,5046.171463,4920.067101,4250.423587,4738.887384,tll1062,locus_tag:NCBI Locus Tag
,tll1063,Unknown function,General,,protein of unknown function DUF1230 YCF36,ycf36,1,E,4404.461164,4581.665132,4105.88052,4364.002272,tll1063,locus_tag:NCBI Locus Tag
,tll1077,Nucleic acid metabolism,DNA replication_ recombination_ and repair,Base excision repair,A/G-specific adenine glycosylase MutY,mutY,4,H,432.1847991,592.8737207,790.0407158,605.0330785,tll1077,locus_tag:NCBI Locus Tag
,tll1078,Unknown function,General,,protein of unknown function DUF760,,4,H,39950.43538,42130.20088,51817.74945,44632.79524,tll1078,locus_tag:NCBI Locus Tag
,tll1080,Intracellular trafficking_ assembly_ and processing,Peptidases,DNA gyrase modulation,TldE/TldD proteolytic complex component TldE,tldE,4,H,4410.923096,6022.083347,6388.283713,5607.096719,tll1080,locus_tag:NCBI Locus Tag
,tll1084,Unknown function,General,,hypothetical protein,,4,H,473.9335732,514.7741118,614.8606749,534.5227866,tll1084,locus_tag:NCBI Locus Tag
,tll1085,Unknown function,General,,hypothetical protein,,4,H,1167.508167,1410.935278,1339.408319,1305.950588,tll1085,locus_tag:NCBI Locus Tag
,tll1086,Unknown function,General,,protein of unknown function DUF2237,,4,H,2846.699972,3311.098462,3272.469822,3143.422752,tll1086,locus_tag:NCBI Locus Tag
,tll1089,Prosthetic groups_ cofactors_ and carriers,Iron sulfur clusters,iron-sulfur cluster assembly SUF system,FeS cluster assembly sulfur acceptor protein SufE,sufE,4,H,475.1869392,897.8772318,1013.068371,795.3775141,,unresolved
,tll1092,Unknown function,General,,protein of unknown function DUF2518 Ycf51,ycf51,4,H,4508.52611,5467.432067,6703.792214,5559.916797,tll1092,locus_tag:NCBI Locus Tag
,tll1093,Prosthetic groups_ cofactors_ and carriers,Iron sulfur clusters,iron-sulfur cluster assembly SUF system,Fe-S cluster assembly scaffold IscU,iscU,4,H,1412.721934,2282.876942,3438.130828,2377.909901,tll1093,locus_tag:NCBI Locus Tag
,tll1094,Unknown function,General,,MAPEG family membrane protein,,4,H,3407.598303,5546.628177,7146.610325,5366.945602,tll1094,locus_tag:NCBI Locus Tag
,tll1095,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,bifunctional 6-pyruvoyltetrahydropterin / 6-carboxytetrahydropterin synthase QueD,queD,4,H,4312.966938,6495.020203,7348.564536,6052.183892,tll1095,locus_tag:NCBI Locus Tag
,tll1096,Terpenoids and polyketides metabolism,Biosynthesis of steroids and steroid-like compounds,hopanoid biosynthesis,farnesyl-diphosphate farnesyltransferase FdfT1,fdfT1,3,G,3627.549042,3189.923587,2676.730818,3164.734482,tll1096,locus_tag:NCBI Locus Tag
,tll1099,Unknown function,Enzymes of unknown specificity,,acetyltransferase,,4,H,895.9411563,1689.508197,1913.644403,1499.697919,tll1099,locus_tag:NCBI Locus Tag
,tll1104,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,coenzyme B12 biosynthesis from cob(II)yrinate diamide,bifunctional adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase CobP,cobP,0,,155.8209819,155.2341911,154.3338398,155.1296709,tll1104,locus_tag:NCBI Locus Tag
,tll1105,Transport and binding proteins,Amino acids_ peptides and amines,,ABC-type nickel transport system permease component NikC,nikC,4,H,1190.608171,1229.114872,1269.847685,1229.856909,tll1105,locus_tag:NCBI Locus Tag
,tll1106,Amino acid metabolism,Arginine and proline metabolism,arginine biosynthesis from ornithine_ carbamoyl-p_ and aspartate (urea cycle),ornithine carbamoyltransferase ArgF,argF,3,G,6407.848834,5553.911964,4451.528852,5471.09655,tll1106,locus_tag:NCBI Locus Tag
