baseMean,log2FoldChange (positive means more highly expressed in mitomycin C treatment),lfcSE,stat,pvalue,padj,gene,resolved_locus_tag,resolution_method
3326.738179,-1.415584713,0.201884208,-7.01186452,2.35e-12,4.75e-12,MIT0604_00185,EW14_0185,tier1:gene
1568.143969,-1.05240144,0.075034784,-14.0255144,1.09e-44,4.81e-44,MIT0604_00186,EW14_0186,tier1:gene
1884.699006,-0.629514666,0.089290572,-7.050180728,1.79e-12,3.63e-12,MIT0604_00187,EW14_0187,tier1:gene
1856.93111,1.104079202,0.143114871,7.714636473,1.21e-14,2.63e-14,MIT0604_00188,EW14_0188,tier1:gene
714.401101,1.228992884,0.100932503,12.17638374,4.149999999999999e-34,1.4900000000000001e-33,MIT0604_00189,EW14_0189,tier1:gene
6409.696014,-0.557012666,0.133794425,-4.163197859,3.14e-05,4.62e-05,MIT0604_00190,EW14_0190,tier1:gene
4957.482423,-1.202503428,0.137866575,-8.722226003,2.73e-18,6.55e-18,MIT0604_00191,EW14_0191,tier1:gene
416.8114024,0.15594079,0.137767947,1.131909079,0.257672662,0.282061999,MIT0604_00192,EW14_0192,tier1:gene
1199.769678,-0.253815272,0.125143542,-2.028193126,0.042540541,0.050481442,MIT0604_00193,EW14_0193,tier1:gene
1332.859937,-0.149992488,0.151310941,-0.991286467,0.321545719,0.347275801,MIT0604_00194,EW14_0194,tier1:gene
3732.468047,-2.608009477,0.117839424,-22.13189254,1.5599999999999999e-108,1.65e-107,MIT0604_00195,EW14_0195,tier1:gene
124.5987054,2.302004534,0.211336419,10.89260689,1.25e-27,3.7600000000000004e-27,MIT0604_00196,EW14_0196,tier1:gene
278.4941822,2.814727589,0.180654364,15.58073396,9.839999999999999e-55,5.1799999999999994e-54,MIT0604_00197,EW14_0197,tier1:gene
796.8734934,1.989693125,0.154171269,12.90573225,4.18e-38,1.6200000000000001e-37,MIT0604_00198,EW14_0198,tier1:gene
822.8744518,1.210115796,0.139984086,8.644666916,5.4e-18,1.27e-17,MIT0604_00199,EW14_0199,tier1:gene
2049.193602,0.135739918,0.12793585,1.060999852,0.288689968,0.314334237,MIT0604_00200,EW14_0200,tier1:gene
2159.324864,-0.106631332,0.129449505,-0.823729166,0.410093463,0.436083802,MIT0604_00201,EW14_0201,tier1:gene
3627.020679,0.150255789,0.145777609,1.030719258,0.302672491,0.328684663,MIT0604_00202,EW14_0202,tier1:gene
1742.978607,0.260908022,0.179672445,1.452131526,0.146465038,0.165460227,MIT0604_00203,EW14_0203,tier1:gene
36.82026055,1.862936576,0.363290753,5.127949342,2.93e-07,4.76e-07,MIT0604_00204,EW14_0204,tier1:gene
173.8397933,-1.345204238,0.162051293,-8.301101526,1.03e-16,2.34e-16,MIT0604_00205,EW14_0205,tier1:gene
2993.866857,-1.218317737,0.177646793,-6.858090223,6.98e-12,1.39e-11,MIT0604_00206,EW14_0206,tier1:gene
83.80991494,0.358856106,0.239861674,1.496096065,0.134628623,0.152256791,MIT0604_00207,EW14_0207,tier1:gene
946.9709394,-1.035542588,0.110259664,-9.391853297,5.9e-21,1.5e-20,MIT0604_00208,EW14_0208,tier1:gene
144.4220179,-2.576624015,0.231375102,-11.13613346,8.37e-29,2.59e-28,MIT0604_00209,EW14_0209,tier1:gene
942.5614181,-1.750859015,0.113675525,-15.40225134,1.58e-53,8.09e-53,MIT0604_00210,EW14_0210,tier1:gene
763.9974153,-0.838657088,0.16853027,-4.976299435,6.48e-07,1.04e-06,MIT0604_00211,EW14_0211,tier1:gene
681.6235063,3.092319098,0.155137134,19.93281048,2.11e-88,1.7200000000000001e-87,MIT0604_00212,EW14_0212,tier1:gene
263.2314717,-0.414576614,0.130861919,-3.168046267,0.001534671,0.002013764,MIT0604_00213,EW14_0213,tier1:gene
2862.785855,-1.981330958,0.158964112,-12.46401429,1.17e-35,4.37e-35,MIT0604_00214,EW14_0214,tier1:gene
636.3133551,-1.988841633,0.195833488,-10.15577905,3.12e-24,8.71e-24,MIT0604_00215,EW14_0215,tier1:gene
154.5606651,1.644658523,0.194722458,8.446167622,3.01e-17,6.88e-17,MIT0604_00216,EW14_0216,tier1:gene
154.6766167,0.300987271,0.213805232,1.407763828,0.159201015,0.178959076,MIT0604_00217,EW14_0217,tier1:gene
246.583878,-0.727781717,0.19305675,-3.769781257,0.000163,0.000229,MIT0604_00218,EW14_0218,tier1:gene
297.7736137,-0.838258772,0.217322677,-3.857208015,0.000115,0.000163,MIT0604_00219,EW14_0219,tier1:gene
534.2789051,-0.687303775,0.121154575,-5.672949401,1.4e-08,2.43e-08,MIT0604_00220,EW14_0220,tier1:gene
228.2328112,-2.193271229,0.176813077,-12.40446273,2.47e-35,9.08e-35,MIT0604_00221,EW14_0221,tier1:gene
1120.332682,-1.806378979,0.116720325,-15.47613047,5.0299999999999994e-54,2.58e-53,MIT0604_00222,EW14_0222,tier1:gene
