mit0604_id,locus_tag
MIT0604_00486,EW14_0486
MIT0604_00487,EW14_0487
MIT0604_00488,EW14_0488
MIT0604_00489,EW14_0489
MIT0604_00490,EW14_0490
MIT0604_00491,EW14_0491
MIT0604_00492,EW14_0492
MIT0604_00493,EW14_0493
MIT0604_00494,EW14_0494
MIT0604_00495,EW14_0495
MIT0604_00496,EW14_0496
MIT0604_00497,EW14_0497
MIT0604_00498,EW14_0498
MIT0604_00499,EW14_0499
MIT0604_00500,EW14_0500
MIT0604_00501,EW14_0501
MIT0604_00502,EW14_0502
MIT0604_00503,EW14_0503
MIT0604_00504,EW14_0504
MIT0604_00505,EW14_0505
MIT0604_00506,EW14_0506
MIT0604_00507,EW14_0507
MIT0604_00508,EW14_0508
MIT0604_00509,EW14_0509
MIT0604_00510,EW14_0510
MIT0604_00511,EW14_0511
MIT0604_00512,EW14_0512
MIT0604_00513,EW14_0513
MIT0604_00514,EW14_0514
MIT0604_00515,EW14_0515
MIT0604_00516,EW14_0516
MIT0604_00517,EW14_0517
MIT0604_00518,EW14_0518
MIT0604_00519,EW14_0519
MIT0604_00520,EW14_0520
MIT0604_00521,EW14_0521
MIT0604_00522,EW14_0522
MIT0604_00523,EW14_0523
MIT0604_00524,EW14_0524
MIT0604_00525,EW14_0525
MIT0604_00526,EW14_0526
MIT0604_00527,EW14_0527
MIT0604_00528,EW14_0528
MIT0604_00529,EW14_0529
MIT0604_00530,EW14_0530
MIT0604_00531,EW14_0531
MIT0604_00532,EW14_0532
MIT0604_00533,EW14_0533
MIT0604_00534,EW14_0534
MIT0604_00535,EW14_0535
MIT0604_00536,EW14_0536
MIT0604_00537,EW14_0537
MIT0604_00538,EW14_0538
MIT0604_00539,EW14_0539
MIT0604_00540,EW14_0540
MIT0604_00541,EW14_0541
MIT0604_00542,EW14_0542
MIT0604_00543,EW14_0543
MIT0604_00544,EW14_0544
MIT0604_00545,EW14_0545
MIT0604_00546,EW14_0546
MIT0604_00547,EW14_0547
MIT0604_00548,EW14_0548
MIT0604_00549,EW14_0549
MIT0604_00550,EW14_0550
MIT0604_00551,EW14_0551
MIT0604_00552,EW14_0552
MIT0604_00553,EW14_0553
MIT0604_00554,EW14_0554
MIT0604_00555,EW14_0555
MIT0604_00556,EW14_0556
MIT0604_00557,EW14_0557
MIT0604_00558,EW14_0558
MIT0604_00559,EW14_0559
MIT0604_00560,EW14_0560
MIT0604_00561,EW14_0561
MIT0604_00562,EW14_0562
MIT0604_00563,EW14_0563
MIT0604_00564,EW14_0564
MIT0604_00565,EW14_0565
MIT0604_00566,EW14_0566
MIT0604_00567,EW14_0567
MIT0604_00568,EW14_0568
MIT0604_00569,EW14_0569
MIT0604_00570,EW14_0570
MIT0604_00571,EW14_0571
MIT0604_00572,EW14_0572
MIT0604_00573,EW14_0573
MIT0604_00574,EW14_0574
MIT0604_00575,EW14_0575
MIT0604_00576,EW14_0576
MIT0604_00577,EW14_0577
MIT0604_00578,EW14_0578
MIT0604_00579,EW14_0579
MIT0604_00580,EW14_0580
MIT0604_00581,EW14_0581
MIT0604_00582,EW14_0582
MIT0604_00583,EW14_0583
MIT0604_00584,EW14_0584
MIT0604_00585,EW14_0585
MIT0604_00586,EW14_0586
MIT0604_00587,EW14_0587
MIT0604_00588,EW14_0588
MIT0604_00589,EW14_0589
MIT0604_00590,EW14_0590
MIT0604_00591,EW14_0591
MIT0604_00592,EW14_0592
MIT0604_00593,EW14_0593
MIT0604_00594,EW14_0594
MIT0604_00595,EW14_0595
MIT0604_00596,EW14_0596
MIT0604_00597,EW14_0597
MIT0604_00598,EW14_0598
MIT0604_00599,EW14_0599
MIT0604_00600,EW14_0600
MIT0604_00601,EW14_0601
MIT0604_00602,EW14_0602
MIT0604_00603,EW14_0603
MIT0604_00604,EW14_0604
MIT0604_00605,EW14_0605
MIT0604_00606,EW14_0606
MIT0604_00607,EW14_0607
MIT0604_00608,EW14_0608
MIT0604_00609,EW14_0609
MIT0604_00610,EW14_0610
MIT0604_00611,EW14_0611
MIT0604_00612,EW14_0612
MIT0604_00613,EW14_0613
MIT0604_00614,EW14_0614
MIT0604_00615,EW14_0615
MIT0604_00616,EW14_0616
MIT0604_00617,EW14_0617
MIT0604_00618,EW14_0618
MIT0604_00619,EW14_0619
MIT0604_00620,EW14_0620
MIT0604_00621,EW14_0621
MIT0604_00622,EW14_0622
MIT0604_00623,EW14_0623
MIT0604_00624,EW14_0624
MIT0604_00625,EW14_0625
MIT0604_00627,EW14_0627
MIT0604_00628,EW14_0628
MIT0604_00629,EW14_0629
MIT0604_00630,EW14_0630
MIT0604_00631,EW14_0631
MIT0604_00632,EW14_0632
MIT0604_00633,EW14_0633
MIT0604_00634,EW14_0634
MIT0604_00635,EW14_0635
MIT0604_00636,EW14_0636
MIT0604_00637,EW14_0637
MIT0604_00638,EW14_0638
MIT0604_00639,EW14_0639
MIT0604_00640,EW14_0640
MIT0604_00641,EW14_0641
MIT0604_00642,EW14_0642
MIT0604_00643,EW14_0643
