locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0779,2,-0.8,3.07,2.17,0.35,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0779,locus_tag:locus_tag
PMM0781,2,-1.53,0.68,0.48,0.0,"Fatty acid, phospholipid and sterol metabolism","Fructose-bisphosphate/sedoheptulose-1,7-bisphosph ate aldolase",24h,PMM0781,locus_tag:locus_tag
PMM0784,2,-0.74,1.17,0.82,0.37,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, beta subunit",24h,PMM0784,locus_tag:locus_tag
PMM0785,2,-4.13,1.35,0.96,0.0,CO2 fixation,phosphoribulokinase,24h,PMM0785,locus_tag:locus_tag
PMM0790,2,0.24,0.03,0.02,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0790,locus_tag:locus_tag
PMM0794,2,-0.25,0.46,0.33,0.55,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0794,locus_tag:locus_tag
PMM0797,2,-2.7,1.56,1.11,0.0,Nucleoproteins,possible mRNA binding protein,24h,PMM0797,locus_tag:locus_tag
PMM0799,2,-2.96,1.34,0.95,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0799,locus_tag:locus_tag
PMM0800,2,-1.86,0.09,0.07,0.03,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0800,locus_tag:locus_tag
PMM0801,2,-2.19,2.14,1.51,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0801,locus_tag:locus_tag
PMM0802,2,1.29,0.7,0.49,0.24,"DNA replication, recombination, and repair",putative endonuclease,24h,PMM0802,locus_tag:locus_tag
PMM0804,2,1.4,0.49,0.34,1.0,Other,ferritin,24h,PMM0804,locus_tag:locus_tag
PMM0806,2,1.62,1.11,0.78,0.0,Regulatory functions,"Bacterial regulatory proteins, Crp family",24h,PMM0806,locus_tag:locus_tag
PMM0810,2,1.63,0.53,0.38,0.07,Conserved hypothetical protein,hypothetical,24h,PMM0810,locus_tag:locus_tag
PMM0812,2,2.4,0.26,0.19,0.0,Conserved hypothetical protein,hypothetical,24h,PMM0812,locus_tag:locus_tag
PMM0814,2,-1.09,0.8,0.57,0.18,Other,possible Cytochrome oxidase c subunit VIb,24h,PMM0814,locus_tag:locus_tag
PMM0815,2,3.08,0.52,0.37,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0815,locus_tag:locus_tag
PMM0816,2,4.01,0.53,0.37,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0816,locus_tag:locus_tag
PMM0817,2,3.66,0.29,0.21,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0817,locus_tag:locus_tag
PMM0818,2,4.26,0.12,0.08,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0818,locus_tag:locus_tag
PMM0819,2,3.96,0.08,0.05,0.0,Conserved hypothetical protein,hypothetical,24h,PMM0819,locus_tag:locus_tag
PMM0820,2,-1.6,0.1,0.07,0.11,Aromatic amino acid family,possible EPSP synthase (3-phosphoshikimate 1-c,24h,PMM0820,locus_tag:locus_tag
PMM0821,2,0.56,0.07,0.05,0.79,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0821,locus_tag:locus_tag
PMM0824,2,-0.23,0.33,0.23,0.53,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0824,locus_tag:locus_tag
PMM0828,2,0.79,0.54,0.38,0.55,Other,S4 domain,24h,PMM0828,locus_tag:locus_tag
PMM0829,2,0.32,0.1,0.07,1.0,Other,Triosephosphate isomerase,24h,PMM0829,locus_tag:locus_tag
PMM0835,2,-4.13,0.91,0.64,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0835,locus_tag:locus_tag
PMM0844,2,-1.49,0.43,0.31,0.02,Adaptations and atypical conditions,phytochrome-regulated gene,24h,PMM0844,locus_tag:locus_tag
PMM0845,2,-0.06,0.82,0.58,0.53,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0845,locus_tag:locus_tag
PMM0846,2,-0.25,0.47,0.33,0.5,Other,"possible Uncharacterized secreted proteins, Ya",24h,PMM0846,locus_tag:locus_tag
PMM0847,2,-0.83,0.19,0.14,0.28,Drug and analog sensitivity,putative acetazolamide conferring resistance protein Zam,24h,PMM0847,locus_tag:locus_tag
PMM0851,2,-2.07,0.86,0.61,0.0,Other,Putative CbbY homolog,24h,PMM0851,locus_tag:locus_tag
PMM0852,2,2.4,0.07,0.05,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0852,locus_tag:locus_tag
PMM0853,2,-1.36,1.18,0.83,0.01,Ribosomal proteins,50S ribosomal protein L32,24h,PMM0853,locus_tag:locus_tag
PMM0856,2,-0.77,0.77,0.54,0.96,Detoxification,thioredoxin peroxidase,24h,PMM0856,locus_tag:locus_tag
PMM0857,2,-3.7,0.89,0.63,0.0,Other,possible Influenza RNA-dependent RNA polymeras,24h,PMM0857,locus_tag:locus_tag
PMM0858,2,2.8,0.33,0.23,0.0,Conserved hypothetical protein,hypothetical,24h,PMM0858,locus_tag:locus_tag
PMM0861,2,-0.83,0.1,0.07,0.91,Transport and binding proteins,possible Virion host shutoff protein,24h,PMM0861,locus_tag:locus_tag
PMM0863,2,-0.7,0.19,0.14,0.33,"Cobalamin, heme, phycobilin and porphyrin",putative cobinamide kinase,24h,PMM0863,locus_tag:locus_tag
PMM0864,2,-2.44,1.71,1.21,0.0,Other,possible Fusion glycoprotein F0.,24h,PMM0864,locus_tag:locus_tag
PMM0867,2,-0.53,1.56,1.1,0.37,Aminoacyl tRNA synthetases and tRNA modification,Methionyl-tRNA synthetase,24h,PMM0867,locus_tag:locus_tag
PMM0869,2,-2.64,0.8,0.57,0.0,Ribosomal proteins,30S Ribosomal protein S18,24h,PMM0869,locus_tag:locus_tag
PMM0870,2,-3.22,0.17,0.12,0.0,Ribosomal proteins,50S Ribosomal protein L33,24h,PMM0870,locus_tag:locus_tag
PMM0872,2,-0.38,0.17,0.12,0.84,Other,possible Carboxylesterase,24h,PMM0872,locus_tag:locus_tag
PMM0876,2,-2.18,0.09,0.06,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM0876,locus_tag:locus_tag
PMM0878,2,0.13,0.05,0.03,0.84,Branched chain family,putative Branched-chain amino acid aminotransferase,24h,PMM0878,locus_tag:locus_tag
PMM0881,2,-0.16,1.16,0.82,0.54,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0881,locus_tag:locus_tag
PMM0883,2,0.49,0.68,0.48,0.89,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0883,locus_tag:locus_tag
PMM0893,2,0.21,1.37,0.97,0.76,Riboflavin,"possible GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase",24h,PMM0893,locus_tag:locus_tag
PMM0894,2,-1.6,0.13,0.09,0.0,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,24h,PMM0894,locus_tag:locus_tag
PMM0895,2,-0.52,2.55,1.8,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0895,locus_tag:locus_tag
PMM0896,2,1.14,0.42,0.3,0.17,Chaperones,DnaJ2 protein,24h,PMM0896,locus_tag:locus_tag
PMM0897,2,0.62,0.06,0.04,1.0,Chaperones,"Molecular chaperone DnaK, heat shock protein hsp70",24h,PMM0897,locus_tag:locus_tag
PMM0898,2,-0.67,0.3,0.22,0.35,Soluble electron carriers,"ferredoxin, petF-like protein",24h,PMM0898,locus_tag:locus_tag
PMM0899,2,0.27,0.82,0.58,1.0,Regulatory functions,Possible myo-inositol-1(or 4)-monophosphatase,24h,PMM0899,locus_tag:locus_tag
PMM0901,2,-1.84,0.68,0.48,0.0,Chaperones,heat shock protein HtpG,24h,PMM0901,locus_tag:locus_tag
PMM0902,2,-0.84,0.32,0.23,0.21,Ribosomal proteins,50S ribosomal protein L28,24h,PMM0902,locus_tag:locus_tag
PMM0906,2,-1.96,0.34,0.24,0.0,Photosystem I,Photosystem I PsaK protein (subunit X),24h,PMM0906,locus_tag:locus_tag
PMM0907,2,-1.06,0.12,0.08,0.17,Sugars,1-deoxy-D-xylulose 5-phosphate synthase,24h,PMM0907,locus_tag:locus_tag
PMM0910,2,0.84,1.18,0.84,0.86,Conserved hypothetical protein,conserved hypothetical membrane protein,24h,PMM0910,locus_tag:locus_tag
PMM0912,2,0.09,0.35,0.25,0.63,Other,Pyruvate kinase,24h,PMM0912,locus_tag:locus_tag
PMM0913,2,0.51,0.69,0.49,1.0,Transport and binding proteins,possible ABC transporter,24h,PMM0913,locus_tag:locus_tag
PMM0919,2,0.26,0.46,0.32,0.83,Branched chain family,serine:pyruvate/alanine:glyoxylate aminotransferase,24h,PMM0919,locus_tag:locus_tag
PMM0920,2,2.45,0.57,0.41,0.0,Glutamate family / Nitrogen assimilation,"Glutamine synthetase, glutamate-ammonia ligase",24h,PMM0920,locus_tag:locus_tag
PMM0922,2,0.14,2.04,1.44,0.96,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0922,locus_tag:locus_tag
PMM0923,2,-3.12,0.36,0.25,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0923,locus_tag:locus_tag
PMM0926,2,-0.45,0.29,0.2,0.51,Photosystem II,possible Photosystem II reaction center Psb28 protein,24h,PMM0926,locus_tag:locus_tag
PMM0930,2,-2.02,0.98,0.7,0.0,Other,Pyruvate dehydrogenase E1 beta subunit,24h,PMM0930,locus_tag:locus_tag
PMM0934,2,-0.04,0.89,0.63,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0934,locus_tag:locus_tag
PMM0936,2,2.3,2.05,1.45,0.03,"DNA replication, recombination, and repair",putative SOS mutagenesis protein UmuD,24h,PMM0936,locus_tag:locus_tag
PMM0941,2,-0.26,0.23,0.16,0.59,Other,possible cAMP phosphodiesterases class-II,24h,PMM0941,locus_tag:locus_tag
PMM0942,2,-1.15,0.08,0.06,0.15,"DNA replication, recombination, and repair",putative holliday junction DNA helicase RuvA,24h,PMM0942,locus_tag:locus_tag
PMM0943,2,-1.77,0.3,0.21,0.0,Ribosomal proteins,30S Ribosomal protein S15,24h,PMM0943,locus_tag:locus_tag
PMM0946,2,0.83,0.03,0.02,0.79,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA(Gln) amidotransferase A subunit,24h,PMM0946,locus_tag:locus_tag
PMM0947,2,-0.1,3.08,2.18,0.35,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0947,locus_tag:locus_tag
PMM0949,2,0.68,1.34,0.94,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0949,locus_tag:locus_tag
PMM0950,2,0.02,1.15,0.81,0.48,Other,No Cyanobase Name,24h,PMM0950,locus_tag:locus_tag
PMM0953,2,-1.61,0.5,0.36,0.15,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0953,locus_tag:locus_tag
PMM0954,2,0.16,0.46,0.33,1.0,Transport and binding proteins,"ABC transporter, multidrug efflux family",24h,PMM0954,locus_tag:locus_tag
PMM0955,2,0.06,0.3,0.22,1.0,Protein modification and translation factors,Peptide methionine sulfoxide reductase,24h,PMM0955,locus_tag:locus_tag
PMM0957,2,1.49,0.47,0.33,0.06,Regulatory functions,possible GRAM domain,24h,PMM0957,locus_tag:locus_tag
PMM0958,2,1.11,0.47,0.33,0.21,Conserved hypothetical protein,conserved hypothetical,24h,PMM0958,locus_tag:locus_tag
PMM0963,2,1.66,0.65,0.46,0.05,Nitrogen metabolism,Urease alpha subunit,24h,PMM0963,locus_tag:locus_tag
PMM0964,2,2.33,0.14,0.1,0.0,Nitrogen metabolism,Urease beta subunit,24h,PMM0964,locus_tag:locus_tag
PMM0965,2,3.08,0.72,0.51,0.0,Nitrogen metabolism,Urease gamma subunit,24h,PMM0965,locus_tag:locus_tag
PMM0966,2,1.05,0.25,0.18,0.29,Nitrogen metabolism,urease accessory protein UreD,24h,PMM0966,locus_tag:locus_tag
PMM0969,2,1.85,0.94,0.66,0.05,Nitrogen metabolism,urease accessory protein UreG,24h,PMM0969,locus_tag:locus_tag
PMM0970,2,2.8,0.27,0.19,0.01,Transport and binding proteins,"putative urea ABC transporter, substrate binding protein",24h,PMM0970,locus_tag:locus_tag
PMM0971,2,1.39,0.38,0.27,0.08,Transport and binding proteins,putative urea ABC transporter,24h,PMM0971,locus_tag:locus_tag
PMM0974,2,-0.46,0.93,0.66,0.94,Transport and binding proteins,Putative ATP-binding subunit of urea ABC transport system,24h,PMM0974,locus_tag:locus_tag
PMM0975,2,-0.21,0.74,0.53,0.59,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0975,locus_tag:locus_tag
PMM0982,2,-0.41,0.03,0.02,0.52,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,24h,PMM0982,locus_tag:locus_tag
PMM0983,2,-1.41,0.06,0.04,0.05,"Fatty acid, phospholipid and sterol metabolism",possible ATP synthase protein 8,24h,PMM0983,locus_tag:locus_tag
PMM0987,2,-3.56,0.79,0.56,0.0,Ribosomal proteins,30S Ribosomal protein S21,24h,PMM0987,locus_tag:locus_tag
PMM0988,2,0.6,1.04,0.74,1.0,Regulatory functions,Helix-hairpin-helix DNA-binding motif class 1,24h,PMM0988,locus_tag:locus_tag
PMM0993,2,-3.24,1.72,1.22,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0993,locus_tag:locus_tag
PMM0996,2,2.19,0.81,0.57,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0996,locus_tag:locus_tag
PMM0997,2,0.2,0.39,0.28,0.65,Conserved hypothetical protein,possible Protein of unknown function DUF67,24h,PMM0997,locus_tag:locus_tag
PMM0998,2,1.58,0.61,0.43,0.03,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0998,locus_tag:locus_tag
PMM0999,2,-1.94,0.67,0.47,0.02,Conserved hypothetical protein,hypothetical,24h,PMM0999,locus_tag:locus_tag
PMM1003,2,-3.57,1.13,0.8,0.0,Photosystem II,possible Photosystem II reaction centre N prot,24h,PMM1003,locus_tag:locus_tag
PMM1005,2,-1.37,0.3,0.21,0.06,Regulatory functions,possible Legume lectins alpha domain,24h,PMM1005,locus_tag:locus_tag
PMM1008,2,-0.14,0.57,0.4,0.71,Conserved hypothetical protein,hypothetical,24h,PMM1008,locus_tag:locus_tag
PMM1011,2,-3.04,2.02,1.43,0.0,Conserved hypothetical protein,hypothetical,24h,PMM1011,locus_tag:locus_tag
PMM1015,2,4.1,2.14,1.52,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1015,locus_tag:locus_tag
PMM1026,2,0.43,0.11,0.08,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1026,locus_tag:locus_tag
PMM1030,2,-1.22,0.4,0.29,0.06,Regulatory functions,Ferric uptake regulator family,24h,PMM1030,locus_tag:locus_tag
PMM1031,2,3.74,0.47,0.33,0.0,Transport and binding proteins,"ABC transporter, ATP binding domain, possibly Mn transport",24h,PMM1031,locus_tag:locus_tag
PMM1032,2,3.48,0.24,0.17,0.0,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn.",24h,PMM1032,locus_tag:locus_tag
PMM1033,2,0.5,0.52,0.36,1.0,Protein modification and translation factors,Cobalamin synthesis protein/P47K,24h,PMM1033,locus_tag:locus_tag
PMM1039,2,-0.91,0.28,0.2,0.21,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1039,locus_tag:locus_tag
PMM1042,2,-1.21,0.66,0.47,0.03,Conserved hypothetical protein,conserved hpothetical protein,24h,PMM1042,locus_tag:locus_tag
PMM1045,2,0.83,0.83,0.59,0.47,Conserved hypothetical protein,conserved hypothetical,24h,PMM1045,locus_tag:locus_tag
PMM1054,2,1.01,0.13,0.09,0.33,"DNA replication, recombination, and repair",Crossover junction endodeoxyribonuclease RuvC,24h,PMM1054,locus_tag:locus_tag
PMM1055,2,-1.54,0.5,0.36,0.04,"Cobalamin, heme, phycobilin and porphyrin","Protoporphyrin IX Magnesium chelatase, ChlI subunit",24h,PMM1055,locus_tag:locus_tag
PMM1058,2,-3.2,0.39,0.28,0.0,Cytochrome b6/f complex,"Cytochrome b6/f complex, subunit V",24h,PMM1058,locus_tag:locus_tag
PMM1060,2,0.75,0.6,0.43,1.0,Other,Glutamine amidotransferase class-I,24h,PMM1060,locus_tag:locus_tag
PMM1061,2,0.17,0.54,0.38,0.8,Thiamine,Thioredoxin,24h,PMM1061,locus_tag:locus_tag
PMM1063,2,1.26,1.01,0.71,0.6,"DNA replication, recombination, and repair","DNA gyrase/topoisomerase IV, subunit A",24h,PMM1063,locus_tag:locus_tag
PMM1066,2,0.51,0.84,0.6,1.0,Branched chain family,2-isopropylmalate synthase,24h,PMM1066,locus_tag:locus_tag
PMM1067,2,-0.05,0.89,0.63,0.57,WD repeat proteins,possible Adenoviral fiber protein (repeat/shaf,24h,PMM1067,locus_tag:locus_tag
PMM1069,2,-2.35,1.0,0.7,0.0,Folic acid,putuative bifunctional Methylenetetrahydrofolate dehydrogenase Methenyltetrahydrofolate/cyclohydrolase,24h,PMM1069,locus_tag:locus_tag
PMM1074,2,1.48,0.11,0.08,0.15,Other,Glucose-6-phosphate dehydrogenase,24h,PMM1074,locus_tag:locus_tag
PMM1075,2,1.16,0.09,0.06,0.68,Cytochrome b6/f complex,ferredoxin-NADP oxidoreductase (FNR),24h,PMM1075,locus_tag:locus_tag
PMM1077,2,0.85,0.55,0.39,0.94,Regulatory functions,two-component sensor histidine kinase,24h,PMM1077,locus_tag:locus_tag
PMM1078,2,0.38,0.6,0.42,0.87,Conserved hypothetical protein,conserved hypothetical,24h,PMM1078,locus_tag:locus_tag
PMM1079,2,-0.95,1.18,0.83,0.16,Regulatory functions,possible Villin headpiece domain,24h,PMM1079,locus_tag:locus_tag
PMM1080,2,0.27,1.38,0.98,1.0,Other,Ribose-phosphate pyrophosphokinase,24h,PMM1080,locus_tag:locus_tag
PMM1086,2,0.1,0.32,0.23,1.0,"Fatty acid, phospholipid and sterol metabolism",Alpha/beta hydrolase fold:Esterase/lipase/thioesterase family...,24h,PMM1086,locus_tag:locus_tag
PMM1088,2,0.4,0.4,0.28,0.84,"Degradation of proteins, peptides, and glycopeptides",ClpC,24h,PMM1088,locus_tag:locus_tag
PMM1090,2,0.21,0.47,0.34,0.8,Branched chain family,Diaminopimelate decarboxylase,24h,PMM1090,locus_tag:locus_tag
PMM1091,2,0.61,1.45,1.02,0.65,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1091,locus_tag:locus_tag
PMM1092,2,0.63,0.39,0.28,0.91,Other,Undecaprenyl pyrophosphate synthetase (UPPS),24h,PMM1092,locus_tag:locus_tag
PMM1098,2,0.17,0.83,0.59,0.78,Photosystem II,photosystem II oxygen evolving complex protein PsbP,24h,PMM1098,locus_tag:locus_tag
PMM1107,2,0.1,0.26,0.19,0.81,Pyridoxine,Pyridoxal phosphate biosynthetic protein PdxJ,24h,PMM1107,locus_tag:locus_tag
PMM1109,2,-2.65,0.02,0.02,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1109,locus_tag:locus_tag
PMM1111,2,1.31,1.16,0.82,0.2,Other,Glutaredoxin-related protein,24h,PMM1111,locus_tag:locus_tag
PMM1113,2,-0.74,0.61,0.43,0.31,Regulatory functions,two-component response regulator,24h,PMM1113,locus_tag:locus_tag
PMM1116,2,-1.47,0.56,0.4,0.0,Cell division,NAD binding site:Glucose inhibited division protein A family,24h,PMM1116,locus_tag:locus_tag
PMM1117,2,-1.86,0.3,0.21,0.0,Photosystem II,possible Photosystem II reaction center Y protein (PsbY),24h,PMM1117,locus_tag:locus_tag
PMM1118,2,1.52,0.2,0.14,0.36,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1118,locus_tag:locus_tag
PMM1119,2,1.98,0.42,0.3,1.0,"Membranes, lipoproteins and porins",possible porin,24h,PMM1119,locus_tag:locus_tag
PMM1121,2,2.04,0.26,0.19,1.0,"Membranes, lipoproteins and porins",possible porin,24h,PMM1121,locus_tag:locus_tag
PMM1123,2,2.04,0.43,0.3,0.07,Hydrogenase,putative hydrogenase accessory protein,24h,PMM1123,locus_tag:locus_tag
PMM1124,2,0.65,0.03,0.02,1.0,Other,possible Natural resistance-associated macroph,24h,PMM1124,locus_tag:locus_tag
PMM1125,2,-3.35,0.7,0.5,0.0,Regulatory functions,"possible Bacterial regulatory proteins, deoR f",24h,PMM1125,locus_tag:locus_tag
PMM1128,2,1.68,0.25,0.18,0.03,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1128,locus_tag:locus_tag
PMM1129,2,0.29,0.11,0.08,1.0,Regulatory functions,possible Notch (DSL) domain,24h,PMM1129,locus_tag:locus_tag
PMM1131,2,0.34,0.06,0.04,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1131,locus_tag:locus_tag
PMM1132,2,1.35,0.38,0.27,0.39,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1132,locus_tag:locus_tag
PMM1133,2,0.33,0.82,0.58,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1133,locus_tag:locus_tag
PMM1134,2,2.87,0.55,0.39,0.0,Other,possible Phosphatidylinositol-specific phospho,24h,PMM1134,locus_tag:locus_tag
PMM1135,2,2.56,0.17,0.12,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM1135,locus_tag:locus_tag
PMM1138,2,0.62,0.85,0.6,0.98,Regulatory functions,probable GTP-binding protein,24h,PMM1138,locus_tag:locus_tag
PMM1139,2,0.1,0.42,0.3,0.84,Drug and analog sensitivity,possible membrane fusion protein,24h,PMM1139,locus_tag:locus_tag
PMM1145,2,0.02,0.43,0.31,0.89,Respiration,"putative nicotinamide nucleotide transhydrogenase, subunit beta",24h,PMM1145,locus_tag:locus_tag
PMM1146,2,2.09,1.55,1.09,0.04,Nicotinate and nicotinamide,"putative nicotinamide nucleotide transhydrogenase, subunit alpha 2 (A2)",24h,PMM1146,locus_tag:locus_tag
PMM1147,2,0.74,1.09,0.77,1.0,"DNA replication, recombination, and repair","putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)",24h,PMM1147,locus_tag:locus_tag
PMM1148,2,-1.11,0.03,0.02,0.05,Protein modification and translation factors,possible EF-1 guanine nucleotide exchange doma,24h,PMM1148,locus_tag:locus_tag
PMM1149,2,2.92,0.19,0.14,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM1149,locus_tag:locus_tag
PMM1150,2,2.3,0.19,0.13,0.0,Regulatory functions,putative thioredoxin reductase,24h,PMM1150,locus_tag:locus_tag
PMM1151,2,3.28,0.16,0.11,0.0,Protein modification and translation factors,translation initiation factor IF-1,24h,PMM1151,locus_tag:locus_tag
PMM1152,2,0.27,0.66,0.47,0.86,Photosystem II,putative chaperon-like protein for quinone binding in photosystem II,24h,PMM1152,locus_tag:locus_tag
PMM1154,2,1.38,0.76,0.54,0.21,Branched chain family,Acetolactate synthase small subunit,24h,PMM1154,locus_tag:locus_tag
PMM1156,2,-0.37,0.2,0.14,0.37,Photosystem I,photosystem I assembly related protein Ycf4,24h,PMM1156,locus_tag:locus_tag
PMM1157,2,1.58,0.39,0.27,1.0,Photosystem II,Photosystem II PsbD protein (D2),24h,PMM1157,locus_tag:locus_tag
PMM1158,2,0.88,0.06,0.04,0.97,Photosystem II,Photosystem II PsbC protein (CP43),24h,PMM1158,locus_tag:locus_tag
PMM1165,2,0.69,0.4,0.28,0.69,Aminoacyl tRNA synthetases and tRNA modification,Glycyl-tRNA synthetase alpha subunit,24h,PMM1165,locus_tag:locus_tag
PMM1167,2,-0.17,0.15,0.11,0.76,Other,Macrophage migration inhibitory factor family,24h,PMM1167,locus_tag:locus_tag
PMM1168,2,0.84,0.78,0.55,0.37,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1168,locus_tag:locus_tag
PMM1169,2,-0.07,1.0,0.71,0.5,Conserved hypothetical protein,hypothetical,24h,PMM1169,locus_tag:locus_tag
PMM1170,2,-1.32,0.65,0.46,0.08,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1170,locus_tag:locus_tag
PMM1171,2,-2.69,1.39,0.98,0.0,Soluble electron carriers,Flavodoxin,24h,PMM1171,locus_tag:locus_tag
PMM1174,2,-1.27,1.71,1.21,0.12,Conserved hypothetical protein,hypothetical,24h,PMM1174,locus_tag:locus_tag
PMM1176,2,-0.39,0.3,0.21,0.52,Regulatory functions,"possible Helix-turn-helix protein, copG family",24h,PMM1176,locus_tag:locus_tag
PMM1179,2,1.73,0.25,0.17,0.01,Regulatory functions,"putative SMR family transporter, possible pecM homologue",24h,PMM1179,locus_tag:locus_tag
PMM1180,2,-0.39,0.16,0.11,0.47,"Degradation of proteins, peptides, and glycopeptides",signal peptide peptidase SppA (protease IV),24h,PMM1180,locus_tag:locus_tag
PMM1183,2,-2.22,1.26,0.89,0.0,Ribosomal proteins,50S ribosomal protein L34,24h,PMM1183,locus_tag:locus_tag
PMM1184,2,-1.31,0.66,0.46,0.09,Degradation of RNA,Bacterial ribonuclease P protein component,24h,PMM1184,locus_tag:locus_tag
PMM1185,2,-0.71,0.32,0.23,0.32,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1185,locus_tag:locus_tag
PMM1186,2,0.61,0.18,0.13,0.93,Regulatory functions,Putative inner membrane protein; similar to 60 kDa inner membrane protein family,24h,PMM1186,locus_tag:locus_tag
PMM1188,2,-0.49,0.47,0.33,0.42,Aminoacyl tRNA synthetases and tRNA modification,Seryl-tRNA synthetase,24h,PMM1188,locus_tag:locus_tag
PMM1190,2,-0.8,0.59,0.41,0.18,Ribosomal proteins,30S Ribosomal protein S14,24h,PMM1190,locus_tag:locus_tag
PMM1191,2,-1.33,0.42,0.3,0.09,"RNA synthesis, modification, and DNA transcription",polyribonucleotide nucleotidyltransferase,24h,PMM1191,locus_tag:locus_tag
PMM1192,2,-0.29,1.07,0.76,0.53,Other,CysQ protein homolog,24h,PMM1192,locus_tag:locus_tag
PMM1204,2,2.54,1.39,0.98,0.0,"Surface polysaccharides, lipopolysaccharides and antigens glucose-1-phosphate cytidylyltransferase",,24h,PMM1204,locus_tag:locus_tag
PMM1205,2,-0.49,0.36,0.25,0.46,Sugars,"NDP-hexose 3,4-dehydratase",24h,PMM1205,locus_tag:locus_tag
PMM1229,2,-0.15,0.17,0.12,0.59,Respiration,"Dehydrogenase, E1 component",24h,PMM1229,locus_tag:locus_tag
PMM1234,2,0.33,0.18,0.13,1.0,Hydrogenase,Zinc-containing alcohol dehydrogenase superfamily,24h,PMM1234,locus_tag:locus_tag
PMM1235,2,0.7,1.11,0.78,0.61,Transport and binding proteins,possible N-terminal fragment of transketolase,24h,PMM1235,locus_tag:locus_tag
PMM1240,2,-4.39,2.28,1.61,0.0,Other,methyltransferase,24h,PMM1240,locus_tag:locus_tag
PMM1241,2,0.85,0.15,0.11,0.36,Conserved hypothetical protein,hypothetical protein,24h,PMM1241,locus_tag:locus_tag
PMM1244,2,0.73,0.8,0.57,0.6,Conserved hypothetical protein,hypothetical protein,24h,PMM1244,locus_tag:locus_tag
PMM1245,2,0.39,0.89,0.63,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1245,locus_tag:locus_tag
PMM1250,2,-0.12,0.3,0.22,0.58,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM1250,locus_tag:locus_tag
PMM1251,2,0.89,0.28,0.2,0.84,Other,Carbamoyltransferase,24h,PMM1251,locus_tag:locus_tag
PMM1252,2,-0.79,0.67,0.47,0.22,Other,possible acetyltransferase,24h,PMM1252,locus_tag:locus_tag
