pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio,resolved_locus_tag,resolution_method
PMED4_08531,hemA,glutamyl-tRNA reductase (NCBI),3.0,16.0,13.0,1.7,0.42,4.0,PMM0768,tier1:pmed4_id
PMED4_08541,glgC,ADP-glucose pyrophosphorylase (NCBI),3.9,10.5,6.5,1.86,0.16,11.6,PMM0769,tier1:pmed4_id
PMED4_08551,gnd,6-phosphogluconate dehydrogenase (NCBI),16.6,21.5,5.0,3.26,0.32,10.2,PMM0770,tier1:pmed4_id
PMED4_08621,,conserved hypothetical protein (NCBI),6.5,12.2,5.6,0.8,0.5,1.6,PMM0777,tier1:pmed4_id
PMED4_08661,,phosphoribosylformylglycinamidine synthase (NCBI),16.8,20.9,4.2,2.08,0.1,20.8,PMM0780,tier1:pmed4_id
PMED4_08671,cbbA,"Fructose-bisphosphate/sedoheptulose-1, 7-bisphosph",3.3,10.1,6.9,2.5,0.52,4.8,PMM0781,tier1:pmed4_id
PMED4_08711,prkB,phosphoribulokinase (NCBI),5.0,12.2,7.6,2.1,0.14,15.0,PMM0785,tier1:pmed4_id
PMED4_08831,,possible mRNA binding protein (NCBI),2.3,10.1,7.8,1.1,0.56,2.0,PMM0797,tier1:pmed4_id
PMED4_08901,,ferritin (NCBI),5.8,11.6,5.8,0.72,0.18,4.0,PMM0804,tier1:pmed4_id
PMED4_09191,carB,"carbamoyl-phosphate synthase, large subunit (NCBI)",16.6,19.5,2.8,1.62,0.4,4.1,PMM0825,tier1:pmed4_id
PMED4_09231,tpi,Triosephosphate isomerase (NCBI),5.3,6.3,1.1,1.78,0.44,4.0,PMM0829,tier1:pmed4_id
PMED4_09251,chlH,"protoporphyrin IX magnesium chelatase, subunit chlH",7.5,11.5,4.0,1.5,0.74,2.0,PMM0831,tier1:pmed4_id
PMED4_09341,mfd,Transcriptional-repair coupling factor (NCBI),2.5,9.5,7.0,0.72,1.3,0.6,PMM0839,tier1:pmed4_id
PMED4_09391,,"PNIL34,AT1p0h3ytochrome-regulated gene (NCBI)",8.9,6.4,21.6,1.46,1.0,1.5,PMM0844,tier1:pmed4_id
PMED4_09741,,possible Fusion glycoprotein F0. (NCBI),4.9,18.1,13.2,1.12,1.22,0.9,PMM0864,tier1:pmed4_id
PMED4_09771,metG,Methionyl-tRNA synthetase (NCBI),5.9,10.1,4.2,1.16,0.06,19.3,PMM0867,tier1:pmed4_id
PMED4_09811,pheT,Phenylalanyl-tRNA synthetase beta chain (NCBI),0.0,18.5,18.4,1.28,0.06,21.3,PMM0871,tier1:pmed4_id
PMED4_09881,metH,putative methionine synthase (NCBI),10.2,9.1,22.8,0.3,1.34,0.2,PMM0877,tier1:pmed4_id
PMED4_09891,ilvE,putative Branched-chain amino acid aminotransferase,19.0,19.7,1.2,0.38,0.24,1.6,PMM0878,tier1:pmed4_id
PMED4_09941,,Conserved protein/domain typically associated with,14.9,17.4,2.4,0.6,0.28,2.1,PMM0883,tier1:pmed4_id
