Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9313,Q7V5S7,ATPA_PROMM ATP synthase subunit alpha OS=Prochlorococcus marinus (strain MIT 9313) GN=atpA PE=3 SV=1,ATP synthase subunit alpha,Thylakoid membrane,C,4.92e-07,5.95e-09,-6.370152375,PMT1467,tier1:UniProt Annotation
MIT9313,Q7TV11,PSB28_PROMM Photosystem II reaction center Psb28 protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psb28 PE=3 SV=1,photosystem II reaction center Psb28 protein,Thylakoid membrane,H,3.67e-08,4.41e-10,-6.377805947,PMT0604,tier1:UniProt Annotation
MIT9313,Q7V5W5,RL21_PROMM 50S ribosomal protein L21 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplU PE=3 SV=1,50S ribosomal protein L21,Cytoplasm,J,9.2e-08,1.1e-09,-6.383682513,PMT1420,tier1:UniProt Annotation
MIT9313,Q7V7F3,Q7V7F3_PROMM Ribonucleotide reductase (Class II) OS=Prochlorococcus marinus (strain MIT 9313) GN=nrdJ PE=4 SV=1,ribonucleoside-triphosphate reductase%2C adenosylcobalamin-dependent,Cytoplasm,F,1.3e-07,1.54e-09,-6.398684677,PMT0793,tier1:Protein ID
MIT9313,Q7V667,Q7V667_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1307 PE=4 SV=1,hypothetical protein,Unknown,S,3.74e-08,4.41e-10,-6.406952293,PMT1307,tier1:Protein ID
MIT9313,Q7V870,Q7V870_PROMM Ferritin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0499 PE=3 SV=1,ferritin,Cytoplasm,P,1.13e-07,1.32e-09,-6.416538342,PMT0499,tier1:Protein ID
MIT9313,Q7V991,TIG_PROMM Trigger factor OS=Prochlorococcus marinus (strain MIT 9313) GN=tig PE=3 SV=1,trigger factor,Cytoplasm,O,1.7e-07,1.98e-09,-6.419719589,PMT1011,tier1:UniProt Annotation
MIT9313,Q7V6F7,CCMK_PROMM Carbon dioxide-concentrating mechanism protein CcmK OS=Prochlorococcus marinus (strain MIT 9313) GN=ccmK PE=1 SV=1,carbon dioxide-concentrating mechanism protein CcmK,Unknown,E,2.09e-07,2.42e-09,-6.427785797,PMT1206,tier1:UniProt Annotation
MIT9313,Q7V542,RL3_PROMM 50S ribosomal protein L3 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplC PE=3 SV=1,50S ribosomal protein L3,Cytoplasm,J,1.94e-07,2.2e-09,-6.457976296,PMT1732,tier1:UniProt Annotation
MIT9313,Q7V7B7,Q7V7B7_PROMM Possible UBA/TS-N domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0832 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,1.95e-08,2.2e-10,-6.463535821,PMT0832,tier1:Protein ID
MIT9313,Q7V817,Q7V817_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0557 PE=4 SV=1,Secreted pentapeptide repeats protein,Unknown,S,7.86e-08,8.82e-10,-6.477341621,PMT0557,tier1:Protein ID
MIT9313,Q7V8F6,COMB_PROMM Probable 2-phosphosulfolactate phosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=comB PE=3 SV=1,2-phosphosulfolactate phosphatase,Unknown,C,5.91e-08,6.61e-10,-6.481914351,PMT0396,tier1:UniProt Annotation
MIT9313,Q7V547,RECA_PROMM Protein RecA OS=Prochlorococcus marinus (strain MIT 9313) GN=recA PE=3 SV=1,DNA recombination/repair protein RecA,Cytoplasm,L,1e-07,1.1e-09,-6.507257198,PMT1727,tier1:UniProt Annotation
MIT9313,Q7V8J4,Q7V8J4_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0352 PE=3 SV=1,membrane protein,Inner membrane,S,4.04e-08,4.41e-10,-6.517983605,PMT0352,tier1:Protein ID
MIT9313,Q7V535,RL29_PROMM 50S ribosomal protein L29 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmC PE=3 SV=1,50S ribosomal protein L29,Cytoplasm,J,6.06e-08,6.61e-10,-6.517983605,PMT1740,tier1:UniProt Annotation
MIT9313,Q7V6C1,RRF_PROMM Ribosome-recycling factor OS=Prochlorococcus marinus (strain MIT 9313) GN=frr PE=3 SV=1,ribosome recycling factor,Cytoplasm,J,6.06e-08,6.61e-10,-6.517983605,PMT1245,tier1:UniProt Annotation
MIT9313,Q7TUI3,Q7TUI3_PROMM Threonine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=thrC PE=3 SV=1,threonine synthase,Cytoplasm,E,4.19e-08,4.41e-10,-6.570451025,PMT2274,tier1:Protein ID
MIT9313,Q7V833,Q7V833_PROMM Phosphoribosylformylglycinamidine synthase subunit PurS OS=Prochlorococcus marinus (strain MIT 9313) GN=purS PE=3 SV=1,phosphoribosylformylglycinamidine synthase subunit PurS,Unknown,F,2.09e-08,2.2e-10,-6.570451025,PMT0540,tier1:Protein ID
MIT9313,Q7V8M3,Q7V8M3_PROMM ATP-dependent Clp protease proteolytic subunit OS=Prochlorococcus marinus (strain MIT 9313) GN=clpP4 PE=3 SV=1,ATP-dependent Clp protease proteolytic subunit,Cytoplasm,O,6.36e-08,6.61e-10,-6.587524539,PMT0315,tier1:Protein ID
MIT9313,Q7V461,PGK_PROMM Phosphoglycerate kinase OS=Prochlorococcus marinus (strain MIT 9313) GN=pgk PE=3 SV=1,phosphoglycerate kinase,Cytoplasm,G,1.93e-07,1.98e-09,-6.604398357,PMT2106,tier1:UniProt Annotation
MIT9313,Q7V7P2,Q7V7P2_PROMM Heat shock protein HtpG OS=Prochlorococcus marinus (strain MIT 9313) GN=htpG PE=4 SV=1,molecular chaperone HtpG,Cytoplasm,O,1.51e-07,1.54e-09,-6.613952664,PMT0696,tier1:Protein ID
MIT9313,Q7V6T5,Q7V6T5_PROMM Diaminopimelate decarboxylase OS=Prochlorococcus marinus (strain MIT 9313) GN=lysA PE=3 SV=1,diaminopimelate decarboxylase,Cytoplasm,E,2.17e-08,2.2e-10,-6.621077098,PMT1059,tier1:Protein ID
MIT9313,Q7V5K4,Q7V5K4_PROMM Alternative thymidylate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=thyX PE=4 SV=1,FAD-dependent thymidylate synthase,Unknown,F,2.17e-08,2.2e-10,-6.621077098,PMT1550,tier1:Protein ID
MIT9313,Q7V529,RS5_PROMM 30S ribosomal protein S5 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsE PE=3 SV=1,30S ribosomal protein S5,Cytoplasm,J,1.31e-07,1.32e-09,-6.629344714,PMT1748,tier1:UniProt Annotation
MIT9313,Q7TV47,Q7TV47_PROMM Cell division protein FtsZ OS=Prochlorococcus marinus (strain MIT 9313) GN=ftsZ PE=3 SV=1,cell division protein FtsZ,Cytoplasm,D,1.32e-07,1.32e-09,-6.637565222,PMT0319,tier1:Protein ID
MIT9313,Q7V413,Q7V413_PROMM Possible reductase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2167 PE=4 SV=1,reductase,Periplasm,S,8.83e-08,8.82e-10,-6.645739153,PMT2167,tier1:Protein ID
MIT9313,Q7V7Q7,Q7V7Q7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0681 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,4.49e-08,4.41e-10,-6.669986699,PMT0681,tier1:Protein ID
MIT9313,Q7V6A4,Q7V6A4_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1265 PE=4 SV=1,single-stranded DNA-binding protein,Unknown,L,2.24e-08,2.2e-10,-6.669986699,PMT1265,tier1:Protein ID
MIT9313,Q7V759,Q7V759_PROMM Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0899 PE=4 SV=1,sodium-independent anion transporter,Inner membrane,P,2.24e-08,2.2e-10,-6.669986699,PMT0899,tier1:Protein ID
MIT9313,Q7V8J6,Q7V8J6_PROMM Signal recognition particle protein OS=Prochlorococcus marinus (strain MIT 9313) GN=ffh PE=3 SV=1,signal recognition particle protein,Inner membrane,U,6.81e-08,6.61e-10,-6.685928243,PMT0349,tier1:Protein ID
MIT9313,Q7V483,ENO_PROMM Enolase OS=Prochlorococcus marinus (strain MIT 9313) GN=eno PE=3 SV=1,hypothetical protein,Cytoplasm,G,1.14e-07,1.1e-09,-6.689095522,PMT2083,tier1:UniProt Annotation
MIT9313,Q7V4J4,Q7V4J4_PROMM Transketolase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbT PE=3 SV=1,transketolase,Cytoplasm,G,6.84e-07,6.61e-09,-6.692255863,PMT1957,tier1:Protein ID
MIT9313,Q7V9D6,Q7V9D6_PROMM RNA-binding region RNP-1 (RNA recognition motif) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0014 PE=4 SV=1,RNA-binding protein,Unknown,S,1.61e-07,1.54e-09,-6.703934031,PMT0014,tier1:Protein ID
MIT9313,Q7TUK2,Q7TUK2_PROMM Possible Formyl transferase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2134 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,4.64e-08,4.41e-10,-6.717292414,PMT_2134,tier1:Protein ID
MIT9313,Q7V4N4,Q7V4N4_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1915 PE=4 SV=1,hypothetical protein,Unknown,S,9.35e-08,8.82e-10,-6.728880388,PMT1915,tier1:Protein ID
MIT9313,Q7V5E8,Q7V5E8_PROMM Phosphoglucomutase OS=Prochlorococcus marinus (strain MIT 9313) GN=pgm PE=4 SV=1,alpha-D-glucose phosphate-specific phosphoglucomutase,Cytoplasm,G,9.43e-08,8.82e-10,-6.740376027,PMT1614,tier1:Protein ID
MIT9313,Q7TUV5,LEU1_PROMM 2-isopropylmalate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=leuA PE=3 SV=1,2-isopropylmalate synthase,Cytoplasm,E,4.71e-08,4.41e-10,-6.740376027,PMT1121,tier1:UniProt Annotation
MIT9313,Q7V4F8,Q7V4F8_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=rpaB PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,4.71e-08,4.41e-10,-6.740376027,PMT1994,tier1:Protein ID
MIT9313,Q7V6D2,"Q7V6D2_PROMM 30S ribosomal protein S1 homolog B, putative Nbp1 OS=Prochlorococcus marinus (strain MIT 9313) GN=nbp1 PE=4 SV=1",30S ribosomal protein S1,Cytoplasm,J,7.11e-08,6.61e-10,-6.747989211,PMT1233,tier1:Protein ID
MIT9313,Q7V798,Q7V798_PROMM Large-conductance mechanosensitive channel OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0856 PE=3 SV=1,large mechanosensitive ion channel protein MscL,Inner membrane,S,4.79e-08,4.41e-10,-6.763096103,PMT0856,tier1:Protein ID
MIT9313,Q7V4L5,Q7V4L5_PROMM Isocitrate dehydrogenase [NADP] OS=Prochlorococcus marinus (strain MIT 9313) GN=icd PE=4 SV=1,isocitrate dehydrogenase (NADP(+)),Cytoplasm,C,7.18e-08,6.61e-10,-6.763096103,PMT1935,tier1:Protein ID
MIT9313,Q7TUQ7,"Q7TUQ7_PROMM ABC Transporter, ATP binding component OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1605 PE=4 SV=1",ABC transporter ATP-binding protein,Cytoplasm,O,4.86e-08,4.41e-10,-6.785463916,PMT1605,tier1:Protein ID
MIT9313,Q7V501,EFG_PROMM Elongation factor G OS=Prochlorococcus marinus (strain MIT 9313) GN=fusA PE=3 SV=1,elongation factor G,Cytoplasm,J,2.69e-07,2.42e-09,-6.791504518,PMT1781,tier1:UniProt Annotation
MIT9313,Q7V7M2,Q7V7M2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0719 PE=4 SV=1,hypothetical protein,Unknown,S,2.47e-08,2.2e-10,-6.807490223,PMT0719,tier1:Protein ID
MIT9313,Q7V4Z9,RS10_PROMM 30S ribosomal protein S10 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsJ PE=3 SV=1,30S ribosomal protein S10,Cytoplasm,J,1.01e-07,8.82e-10,-6.8399117,PMT1783,tier1:UniProt Annotation
MIT9313,Q7V7L8,Q7V7L8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0723 PE=4 SV=1,diguanylate cyclase,Cytoplasm,S,5.16e-08,4.41e-10,-6.87162056,PMT0723,tier1:Protein ID
MIT9313,Q7V6R5,Q7V6R5_PROMM RNA-binding protein RbpD OS=Prochlorococcus marinus (strain MIT 9313) GN=rbpD PE=4 SV=1,RNA-binding protein,Unknown,S,1.55e-07,1.32e-09,-6.871620561,PMT1081,tier1:Protein ID
MIT9313,Q7V5U2,ATPB_PROMM ATP synthase subunit beta OS=Prochlorococcus marinus (strain MIT 9313) GN=atpD PE=3 SV=1,ATP synthase subunit beta,Thylakoid membrane,C,4.93e-07,4.19e-09,-6.879303245,PMT1468,tier1:UniProt Annotation
MIT9313,Q7V500,EFTU_PROMM Elongation factor Tu OS=Prochlorococcus marinus (strain MIT 9313) GN=tuf PE=3 SV=1,elongation factor Tu,Cytoplasm,J,1.12e-06,9.48e-09,-6.880829799,PMT1782,tier1:UniProt Annotation
MIT9313,Q7V583,PANCY_PROMM Bifunctional pantoate ligase/cytidylate kinase OS=Prochlorococcus marinus (strain MIT 9313) GN=panC/cmk PE=3 SV=1,cytidylate kinase,Cytoplasm,F,5.24e-08,4.41e-10,-6.89237912,PMT1689,tier1:UniProt Annotation
MIT9313,Q7V781,Q7V781_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0874 PE=4 SV=1,hypothetical protein,Cytoplasm,S,2.62e-08,2.2e-10,-6.89237912,PMT0874,tier1:Protein ID
MIT9313,Q7V8K8,Q7V8K8_PROMM Dihydrolipoyl dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=lpdA PE=4 SV=1,dihydrolipoyl dehydrogenase,Cytoplasm,C,1.06e-07,8.82e-10,-6.912843222,PMT0335,tier1:Protein ID
MIT9313,Q7TUY7,Q7TUY7_PROMM Putative O-Acetyl homoserine sulfhydrylase OS=Prochlorococcus marinus (strain MIT 9313) GN=cysD PE=3 SV=1,O-acetylhomoserine aminocarboxypropyltransferase,Cytoplasm,E,1.33e-07,1.1e-09,-6.916901439,PMT0875,tier1:Protein ID
MIT9313,Q7V476,RL7_PROMM 50S ribosomal protein L7/L12 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplL PE=3 SV=1,50S ribosomal protein L7/L12,Cytoplasm,J,1.07e-07,8.82e-10,-6.922967439,PMT2091,tier1:UniProt Annotation
MIT9313,Q7V577,Q7V577_PROMM TPR repeat OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1695 PE=4 SV=1,Tfp pilus assembly protein PilF,Unknown,S,2.69e-08,2.2e-10,-6.933021105,PMT1695,tier1:Protein ID
MIT9313,Q7V528,RL15_PROMM 50S ribosomal protein L15 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplO PE=3 SV=1,50S ribosomal protein L15,Cytoplasm,J,1.08e-07,8.82e-10,-6.933021105,PMT1749,tier1:UniProt Annotation
MIT9313,Q7V3T5,DNAK2_PROMM Chaperone protein dnaK2 OS=Prochlorococcus marinus (strain MIT 9313) GN=dnaK2 PE=3 SV=1,chaperone protein dnaK2,Cytoplasm,O,1.22e-06,9.92e-09,-6.939241542,PMT2255,tier1:UniProt Annotation
MIT9313,Q7V6A7,Q7V6A7_PROMM Possible carbohydrate kinase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1262 PE=4 SV=1,carbohydrate kinase,Unknown,G,2.77e-08,2.2e-10,-6.972549469,PMT1262,tier1:Protein ID
MIT9313,Q7V532,RS8_PROMM 30S ribosomal protein S8 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsH PE=3 SV=1,30S ribosomal protein S8,Cytoplasm,J,8.45e-08,6.61e-10,-6.998312565,PMT1745,tier1:UniProt Annotation
MIT9313,Q7V8V4,Q7V8V4_PROMM Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Prochlorococcus marinus (strain MIT 9313) GN=pdhC PE=3 SV=1,branched-chain alpha-keto acid dehydrogenase subunit E2,Cytoplasm,C,8.83e-08,6.61e-10,-7.060776652,PMT0220,tier1:Protein ID
MIT9313,Q7V7P3,RL28_PROMM 50S ribosomal protein L28 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmB PE=3 SV=1,50S ribosomal protein L28,Cytoplasm,J,5.91e-08,4.41e-10,-7.066876851,PMT0695,tier1:UniProt Annotation
MIT9313,Q7V5A4,"Q7V5A4_PROMM 30S ribosomal protein S1, homolog A OS=Prochlorococcus marinus (strain MIT 9313) GN=rps1a PE=4 SV=1",30S ribosomal protein S1,Cytoplasm,J,1.8e-07,1.32e-09,-7.091022939,PMT1668,tier1:Protein ID
MIT9313,Q7V5G9,Q7V5G9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1591 PE=4 SV=1,hypothetical protein,Outer membrane,S,9.05e-08,6.61e-10,-7.09699684,PMT1591,tier1:Protein ID
MIT9313,Q7V541,RL4_PROMM 50S ribosomal protein L4 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplD PE=3 SV=1,50S ribosomal protein L4,Cytoplasm,J,1.24e-07,8.82e-10,-7.138135534,PMT1733,tier1:UniProt Annotation
MIT9313,Q7V479,RL11_PROMM 50S ribosomal protein L11 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplK PE=3 SV=1,50S ribosomal protein L11,Cytoplasm,J,6.21e-08,4.41e-10,-7.138135535,PMT2088,tier1:UniProt Annotation
MIT9313,Q7TUS2,ATPE_PROMM ATP synthase epsilon chain OS=Prochlorococcus marinus (strain MIT 9313) GN=atpC PE=3 SV=1,ATP synthase epsilon chain,Thylakoid membrane,C,3.22e-08,2.2e-10,-7.189360858,PMT1466,tier1:UniProt Annotation
MIT9313,Q7V643,CH601_PROMM 60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain MIT 9313) GN=groL1 PE=3 SV=1,molecular chaperone GroEL,Cytoplasm,O,1.1e-06,7.27e-09,-7.237355139,PMT1334,tier1:UniProt Annotation
MIT9313,Q7V4J7,PSAC_PROMM Photosystem I iron-sulfur center OS=Prochlorococcus marinus (strain MIT 9313) GN=psaC PE=3 SV=3,photosystem I iron-sulfur center,Thylakoid membrane,C,3.36e-07,2.2e-09,-7.251739643,PMT1954,tier1:UniProt Annotation
MIT9313,Q7V6B4,Q7V6B4_PROMM Possible alpha-ribazole-5'-P phosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=cobC PE=3 SV=1,histidine phosphatase,Cytoplasm,G,3.44e-08,2.2e-10,-7.286658059,PMT1252,tier1:Protein ID
MIT9313,Q7V4J5,Q7V4J5_PROMM 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Prochlorococcus marinus (strain MIT 9313) GN=fabF PE=3 SV=1,hypothetical protein,Inner membrane,I,6.96e-08,4.41e-10,-7.302254914,PMT1956,tier1:Protein ID
MIT9313,Q7TTH9,Q7TTH9_PROMM Possible Kinesin motor domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0956 PE=4 SV=1,guanylate-binding protein,Unknown,S,1.05e-07,6.61e-10,-7.307416619,PMT0956,tier1:UniProt Annotation
MIT9313,Q7V946,"Q7V946_PROMM dTDP-4-dehydrorhamnose 3,5-epimerase OS=Prochlorococcus marinus (strain MIT 9313) GN=rfbC PE=4 SV=1",dTDP-4-dehydrorhamnose 3%2C5-epimerase,Unknown,M,3.67e-08,2.2e-10,-7.377805948,PMT0113,tier1:Protein ID
MIT9313,Q7V4R5,Q7V4R5_PROMM Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Prochlorococcus marinus (strain MIT 9313) GN=fabI PE=3 SV=1,enoyl-[acyl-carrier-protein] reductase,Inner membrane,I,1.11e-07,6.61e-10,-7.387586968,PMT1881,tier1:Protein ID
MIT9313,Q7V8F7,Q7V8F7_PROMM Possible nitrilase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0395 PE=4 SV=1,hydrolase,Cytoplasm,S,3.89e-08,2.2e-10,-7.463535822,PMT0395,tier1:Protein ID
MIT9313,Q7TUZ8,RS18_PROMM 30S ribosomal protein S18 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsR PE=3 SV=1,30S ribosomal protein S18,Cytoplasm,J,1.62e-07,8.82e-10,-7.517983605,PMT0740,tier1:UniProt Annotation
MIT9313,Q7V5R4,Q7V5R4_PROMM Nitrogen regulatory protein P-II OS=Prochlorococcus marinus (strain MIT 9313) GN=glnB PE=3 SV=1,nitrogen regulatory protein P-II,Inner membrane,E,4.52e-07,2.42e-09,-7.542069224,PMT1481,tier1:Protein ID
MIT9313,Q7V7D2,TPIS_PROMM Triosephosphate isomerase OS=Prochlorococcus marinus (strain MIT 9313) GN=tpiA PE=3 SV=1,triose-phosphate isomerase,Cytoplasm,G,8.23e-08,4.41e-10,-7.544455817,PMT0817,tier1:UniProt Annotation
MIT9313,Q7V659,Q7V659_PROMM Photosystem I PsaF protein (Subunit III) OS=Prochlorococcus marinus (strain MIT 9313) GN=psaF PE=4 SV=1,photosystem I PsaF protein (subunit III),Thylakoid membrane,M,1.26e-07,6.61e-10,-7.579013039,PMT1316,tier1:Protein ID
MIT9313,Q7V7H5,Q7V7H5_PROMM Possible modulator of DNA gyrase OS=Prochlorococcus marinus (strain MIT 9313) GN=pmbA PE=4 SV=1,modulator of DNA gyrase,Unknown,L,8.68e-08,4.41e-10,-7.621077098,PMT0771,tier1:Protein ID
MIT9313,Q7V981,Q7V981_PROMM Possible transporter component OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0076 PE=4 SV=1,hemolysin D,Unknown,V,4.34e-08,2.2e-10,-7.621077098,PMT0076,tier1:Protein ID
MIT9313,Q7V6K8,Q7V6K8_PROMM Type I antifreeze protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1149 PE=4 SV=1,type I antifreeze protein,Unknown,S,1.31e-07,6.61e-10,-7.629344714,PMT1149,tier1:Protein ID
MIT9313,Q7V6B8,TAL_PROMM Transaldolase OS=Prochlorococcus marinus (strain MIT 9313) GN=tal PE=3 SV=1,transaldolase,Cytoplasm,G,8.75e-08,4.41e-10,-7.633460823,PMT1248,tier1:UniProt Annotation
MIT9313,Q7V5S8,ATPG_PROMM ATP synthase gamma chain OS=Prochlorococcus marinus (strain MIT 9313) GN=atpG PE=3 SV=1,ATP synthase subunit gamma,Thylakoid membrane,C,8.83e-08,4.41e-10,-7.645739153,PMT1470,tier1:UniProt Annotation
MIT9313,Q7TV16,ILVD_PROMM Dihydroxy-acid dehydratase OS=Prochlorococcus marinus (strain MIT 9313) GN=ilvD PE=3 SV=1,dihydroxy-acid dehydratase,Cytoplasm,E,1.33e-07,6.61e-10,-7.653867034,PMT0560,tier1:UniProt Annotation
MIT9313,Q7V695,Q7V695_PROMM Putative inorganic pyrophosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=ppa PE=4 SV=1,inorganic pyrophosphatase,Cytoplasm,C,1.35e-07,6.61e-10,-7.669986699,PMT1257,tier1:UniProt Annotation
MIT9313,Q7V530,RL18_PROMM 50S ribosomal protein L18 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplR PE=3 SV=1,50S ribosomal protein L18,Cytoplasm,J,1.36e-07,6.61e-10,-7.685928242,PMT1747,tier1:UniProt Annotation
MIT9313,Q7V9C5,Y025_PROMM Nucleoid-associated protein PMT_0025 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0025 PE=3 SV=1,nucleoid-associated protein,Cytoplasm,S,4.71e-08,2.2e-10,-7.740376027,PMT0025,tier1:UniProt Annotation
MIT9313,Q7TUS4,CH602_PROMM 60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain MIT 9313) GN=groL2 PE=3 SV=1,hypothetical protein,Cytoplasm,O,2.98e-06,1.39e-08,-7.74364374,PMT1449,tier1:UniProt Annotation
MIT9313,Q7V6G0,Q7V6G0_PROMM Carboxysome shell protein CsoS2 OS=Prochlorococcus marinus (strain MIT 9313) GN=csoS2 PE=4 SV=1,carboxysome shell protein,Unknown,S,3.35e-07,1.54e-09,-7.763096104,PMT1203,tier1:Protein ID
MIT9313,Q7TV66,PSBU_PROMM Photosystem II 12 kDa extrinsic protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psbU PE=3 SV=1,photosystem II complex extrinsic protein precursor U,Thylakoid membrane,C,1.22e-06,5.51e-09,-7.793432181,PMT0178,tier1:UniProt Annotation
MIT9313,Q7V836,"Q7V836_PROMM Fructose-bisphosphate/sedoheptulose-1,7-bisphosph ate aldolase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbA,cfxA,fbaA,fda PE=3 SV=1",fructose-1%2C6-bisphosphate aldolase,Cytoplasm,G,5.07e-07,2.2e-09,-7.844180032,PMT0537,tier1:Protein ID
MIT9313,Q7V503,RS12_PROMM 30S ribosomal protein S12 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsL PE=3 SV=1,30S ribosomal protein S12,Cytoplasm,J,5.24e-08,2.2e-10,-7.89237912,PMT1779,tier1:UniProt Annotation
MIT9313,Q7V448,Q7V448_PROMM Possible Aldo/keto reductase family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2121 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,1.59e-07,6.61e-10,-7.912843222,PMT2121,tier1:Protein ID
MIT9313,Q7V9B1,Q7V9B1_PROMM Soluble hydrogenase small subunit OS=Prochlorococcus marinus (strain MIT 9313) GN=DHSS PE=3 SV=1,class V aminotransferase,Cytoplasm,E,1.07e-07,4.41e-10,-7.922967439,PMT0043,tier1:Protein ID
MIT9313,B9ESQ2,B9ESQ2_PROMM Rubredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2883 PE=3 SV=1,,Cytoplasm,S,5.61e-08,2.2e-10,-7.991914794,PMT_2883,tier1:Protein ID
MIT9313,Q7V5U0,RRP3_PROMM Probable 30S ribosomal protein PSRP-3 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1454 PE=3 SV=2,30S ribosomal protein Ycf65,Cytoplasm,J,5.84e-08,2.2e-10,-8.048498322,PMT1454,tier1:UniProt Annotation
MIT9313,Q7V4Y5,Q7V4Y5_PROMM ATP-sulfurylase OS=Prochlorococcus marinus (strain MIT 9313) GN=cysD PE=4 SV=1,sulfate adenylyltransferase,Cytoplasm,P,5.84e-08,2.2e-10,-8.048498322,PMT0875,tier1:UniProt Annotation
MIT9313,Q7V5V8,Q7V5V8_PROMM D-3-phosphoglycerate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=serA PE=3 SV=1,phosphoglycerate dehydrogenase,Cytoplasm,E,1.18e-07,4.41e-10,-8.066876851,PMT1431,tier1:Protein ID
MIT9313,Q7V4Y4,Q7V4Y4_PROMM Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psbO PE=4 SV=1,photosystem II manganese-stabilizing protein,Thylakoid membrane,M,2.31e-06,8.16e-09,-8.146566893,PMT1800,tier1:Protein ID
